Αφρική	África
Ψυττάλεια	Psitalea
Πατ και Μάικ	La impetuosa
The Simpsons Road Rage	The Simpsons Road Rage
Yle TV2	YLE TV2
Γουίλι Άντερσον	Willie Anderson
Μάριο Μπόνι	Mario Boni
BBC Arabic	BBC Árabe Radio
Παιδαγωγικό Πανεπιστήμιο της Ανατολικής Κίνας	Universidad Normal del Este de China
Νορβηγικές βουλευτικές εκλογές 2013	Elecciones parlamentarias de Noruega de 2013
Ζοϊνβίλε Εσπόρτε Κλούμπε	Joinville Esporte Clube
Magic Bus: The Who on Tour	Magic Bus: The Who on Tour
Π.Α.Σ. Κόρινθος	PAS Korinthos
Γιγάντιο άι-άι	Daubentonia robusta
Αμιναδάβ	Aminadab
Ατελλανά δράματα	Atelana
Αστικός μαρασμός	Obsolescencia urbana
Όργανα μέτρησης	Instrumento de medición
Αλίφειρα (αρχαία πόλη)	Alifera
Κύπελλο Καταλονίας (ποδόσφαιρο γυναικών)	Copa Cataluña femenina
Περίπλους του Ευξείνου Πόντου	Periplo del Ponto Euxino (Arriano)
Άννα Πορφυρογέννητη	Ana Porfirogéneta
Ελληνικές γλώσσες	Lenguas griegas
Κοινό των Χαλκιδέων	Liga Calcídica
Κατάλογος Προέδρων της Δημοκρατίας της Ισπανίας	Anexo:Jefes de Estado en España que no fueron monarcas
Liber Abaci	Liber abaci
Pablo Zibes	Pablo Zibes
Solid Ball of Rock	Solid Ball of Rock
Shock Rock	Shock Rock
British Leyland Motor Corporation	British Leyland
Διοίκηση Ναυτικού (Κύπρος)	Comando Naval de Chipre
Τέμενος Λαλά Μουσταφά Πασά	Mezquita Lala Mustafa Pasha
Πάλμερστον (ατόλη)	Isla Palmerston
Πανιώνιος (καλαθοσφαίριση ανδρών)	Panionios BC
Χονγκ Κονγκ Ρέιντζερς	Hong Kong Rangers FC
Τσαντίκο	Chantico
Βελτιστοποίηση με πολλαπλά κριτήρια	Optimización multiobjetivo
Μάρμαρο Πάρου	Mármol de Paros
Βουλευτικές εκλογές στο Ελ Σαλβαδόρ 2009	Elecciones legislativas y municipales de El Salvador de 2009
Live at the Grand Olympic Auditorium	Live at the Grand Olympic Auditorium
Τρεμέλ Ντάρντεν	Tremmell Darden
Εθνική Ρωσίας U17 (ποδόσφαιρο ανδρών)	Selección de fútbol sub-17 de Rusia
Βαγγέλης Μάντζαρης	Evangelos Mantzaris
Κόμμα Σοσιαλιστών της Καταλωνίας	Partido de los Socialistas de Cataluña
Βιλαέτι της Βοσνίας	Eyalato de Bosnia
Επιβατηγό πλοίο	Barco de pasajeros
Αβράξας (νυκτοπεταλούδα)	Abraxas (animal)
Παστουρμάς	Pastırma
Top Priority	Top Priority
Αρχαιολογική θεωρία	Historia y teoría de la Arqueología
Μούστελος	Mustelus
Βλάνταν Ίβιτς	Vladimir Ivić
Προφητεία του Νεφερτί	Profecía de Neferti
Ουνιάο Ντεσπορτίβα Ολιβεϊρένσε	União Desportiva Oliveirense
TVes	Televisora Venezolana Social
Παντίτης	Pantites
Trouble (συγκρότημα)	Trouble (banda)
Ολιμπίκ Σαρλερουά	Olympic Charleroi
Ιρένα Ποναρόσκου	Irena Ponaroshku
Όσκαρ Ντουάρτε	Óscar Duarte
Χαβιέρ Ανδόρρα	Xavi Andorrà
Παγκόσμιο ράλι ηλιοκίνητων	World Solar Challenge
Μάχη του Κηφισού	Batalla del río Cefis
Σύνδρομα προδιεγέρσεως	Síndrome de preexcitación
Οθέλλος Αθηαίνου	Othellos Athienou FC
Το Θέατρο του Αίματος	Theatre of Blood
Αρίσταινος	Aristeno de Megalópolis
Κεντρικές Φυλακές Λευκωσίας	Cárcel Central de Nicosia
Δίαιος ο Μεγαλοπολίτης	Dieo
Πελόρους	Taxímetro (náutica)
Βενετική λίρα	Lira veneciana
Δενδρική δομή	Topología arbórea
Πελασγός	Pelasgo
Αρχαία Πελλήνη	Pelene
Πράσινη Νέα Συμφωνία	Green New Deal
Snow ((Hey Oh))	Snow (Hey Oh)
Into the Labyrinth	Into the Labyrinth
A Posteriori (Enigma)	A Posteriori (álbum)
Κομητεία του Άνω Παλιάρς	Condado de Pallars Sobirá
Πραξικόπημα του 1974 στην Κύπρο	Golpe de Estado en Chipre de 1974
Ρετιρέ	Ático (vivienda)
Εθνική Νιγηρίας U23 (ποδόσφαιρο ανδρών)	Selección de fútbol sub-23 de Nigeria
Γαβριήλ (αποσαφήνιση)	Gabriel (desambiguación)
Αναβατικός άνεμος	Viento anabático
Αθηνά Παρθένος (Εθνικό Αρχαιολογικό Μουσείο αρ. 129)	Atenea Partenos
Μακροκυτταρική αναιμία	Anemia macrocítica
Βορ	Vör
Of the Blue Colour of the Sky	Of the blue colour of the sky
BBC Worldwide	BBC Worldwide
Μεντίνα της Φες	Medina de Fez
Τζορτζ Χάρις	George Prideaux Robert Harris
Εέρστε Ντιβίζιε 2012-13	Eerste Divisie 2012/13
Μαύρος Κύκνος (θεωρία)	Teoría del cisne negro
13 (άλμπουμ των Doors)	13 (álbum de The Doors)
Καρλόττα (Άγιος Βικέντιος)	Carlota (San Vicente y las Granadinas)
2010 NBA Playoffs	Playoffs NBA 2010
Φωτοβολταϊκό φαινόμενο	Conversión fotovoltaica
Εθνική ομάδα καλαθοσφαίρισης Γυναικών Τσεχίας	Selección femenina de baloncesto de la República Checa
Dolibarr	Dolibarr
Βολβόφυλλο το νυκτερινό	Bulbophyllum nocturnum
Βορειοανατολική περιφέρεια (ΠΓΔΜ)	Región del Noreste (Macedonia)
Νοτιοανατολική περιφέρεια (ΠΓΔΜ)	Región del Sudeste (Macedonia)
Ζίγκφρηντ	Sigfred
Αυτόνομη κατάδυση	Escafandra autónoma
Γκρέσια	Grecia (Costa Rica)
Φλοράν Μπαλμόν	Florent Balmont
Burnout 3: Takedown	Burnout 3: Takedown
Αλμπέρ Καμίγ Βιτάλ	Albert Camille Vital
Γιάννης Αναστασίου	Yannis Anastasiou
Αλέγκρο	Allegro
Νίκος Νταμπίζας	Nikos Dabizas
Κλείδα του Σολομώντος	Clavícula de Salomón
Γκενάντι Βολνόφ	Gennadi Volnov
Δημοτικό στάδιο Πέγειας	Estadio Municipal de Peyia
Ταϊτιανή Ομοσπονδία Ποδοσφαίρου	Federación Tahitiana de Fútbol
Άνυτος (πολιτικός)	Ánito
Αποδεικτική ανάλυση	Ajedrez retrospectivo
Μεγάλος Βούδας της Ταϊλάνδης	Gran Buda de Tailandia
Εθνική Κύπρου (καλαθοσφαίριση ανδρών)	Selección de baloncesto de Chipre
Ρολάν Λαμά	Roland Lamah
Ρεβιζιονισμός	Revisionismo (marxismo)
Σκιλούρος	Escíloro
Portgas D. Ace	Portgas D. Ace
Ναός Αγίου Ιωάννου του Προδρόμου (Γιαροσλάβλ)	Iglesia de San Juan Bautista (Yaroslavl)
Σάμι Ρόουντς	Sammie Rhodes
1997 MTV Europe Music Awards	Anexo:MTV Europe Music Awards 1997
Φιλαδέλφεια (Μικρά Ασία)	Filadelfia (Turquía)
Βαλέρι Μελάτζε	Valery Meladze
Γλυοξύσωμα	Glioxisoma
Εθνική Αζερμπαϊτζάν (καλαθοσφαίριση ανδρών)	Selección de baloncesto de Azerbaiyán
Δικτυόπτερα	Dictyoptera
Μικρά Ιλιάς	Pequeña Ilíada
Californication (τραγούδι)	Californication (canción)
Λιγκ Καπ Ρωσίας	Copa de la Liga Premier de Rusia
Γκέοργκ Χολμ	Georg Hólm
Άγιος Δαβίδ (ενορία), Γρενάδα	Parroquia de Saint David (Granada)
Φίλιππος (σατράπης)	Filipo (sátrapa)
Γουίλι Σόλομον	Will Solomon
Λόφος Φιλοπάππου	Filopapos
Οίκος (αστρολογία)	Casa (astrología)
Η γαλατού του Μπορντό	La lechera de Burdeos
Μουρμούρα της Αφρικής	Lithognathus lithognathus
Game Boy Light	Game Boy Light
Ηπιόνη	Epione
Βυζαντινή μουσική	Música bizantina
Κλιμακωτή μορφή	Matriz escalonada
Κατάλογος χαρακτήρων του Αβατάρ: Ο Τελευταίος Μαχητής του Ανέμου	Anexo:Personajes secundarios menores de Avatar: la leyenda de Aang
Μάχη του Μακτάν	Batalla de Mactán
Σίτο Ριέρα	Sito Riera
Ιωάννης Αλευράς	Ioannis Alevras
Μέτρο (μαθηματικά)	Magnitud (matemática)
Τεχνική Pomodoro	Técnica Pomodoro
Αετός	Águila
Κλινικός Βαμπιρισμός	Vampirismo
Σπόρτπαρκ Έσεν/Μάουρεν	Sportpark Eschen-Mauren
The Blind Boys of Alabama	The Blind Boys of Alabama
Πιερικός Σ.Φ.Κ.	Pierikos
Σφαγή των Αρμενίων του 1896	Masacres hamidianas
ΠΦΚ Τσερνομόρετς Μπουργκάς Σόφια	PFC Chernomorets Burgas
Πεδίο Χιγκς	Campo de Higgs
Εκλογές της Γερουσίας των Ηνωμένων Πολιτειών 2010	Elecciones al Senado de los Estados Unidos de 2010
Ρω Μεγίστης	Isla de Ro
Πρωτοπόρο πλοίο	Buque líder de clase
Υπερίτης (ζωγραφική)	Iperita (pintura)
Σαμ Νταν	Sam Dunn
Σύβοτα Θεσπρωτίας	Síbota
Σάρωνας	Sarón (mitología)
Radikal	Radikal
Πουάζ	Poise
Republic F-84F Thunderstreak	Republic F-84F Thunderstreak
Estrus EP	Estrus EP
Πολυκάονας	Policaón
Πολυξώ	Polixo
Χανμπί	Hanbi
Τζόναθαν Γκολντστάιν	Jonathan Goldstein
Πραγιούθ Τσαν-ότσα	Prayut Chan-o-cha
Γκαστόν Τονγκ Σανγκ	Gaston Tong Sang
Δήμος Μαρμαρίου	Marmario
Καλώδιο CAT6	Cable de categoría 6
Παραγωγικότητα	Productividad
Ανάλυση προγράμματος (πληροφορική)	Análisis de software
Νίκος Αναστασιάδης	Nikos Anastasiadis
Τραπάνι Κάλτσιο	Trapani Calcio
Ευρωπαϊκό Πρωτάθλημα Τζούντο 2006	Campeonato Europeo de Judo de 2006
Ρωμαϊκή γέφυρα της Κόρδοβα	Puente romano de Córdoba
Ειδύλιο του Ζίγκφριντ	Idilio de Sigfrido
Τραχανάς	Tarhana
ΟΣ Λατίνα Κάλτσιο	US Latina Calcio
Λιοντάρι του Τράνσβααλ	Panthera leo krugeri
Πρωτάθλημα ποδοσφαίρου Ρωσίας 2001	Vysshaya Divizion 2001
Επισφάλεια	Precariedad laboral
Μάχη της Αλιάρτου	Batalla de Haliarto
Ίμια	Imia-Kardak
Συμβούλιο του Έθνους	Consejo de la Nación de Argelia
Ναυμαχία στο Κυνός Σήμα	Batalla de Cinosema
Νήσος Πυραμίδα	Isla Pirámide
Ράρα	Lago Rara
Μάπετ Σώου	El Show de los Muppets
Κασρ Άζρακ	Qasr Al Azraq
RKWard	RKWard
Βόλφγκαγκ Σύσελ	Wolfgang Schüssel
Ραφήνα	Rafina
Μακάμπι Χάιφα	Maccabi Haifa Football Club
ΛΠΠΚ Όιλερς	LPRC Oilers
Γ΄ κατηγορία ποδοσφαίρου ανδρών Κύπρου	Tercera División de Chipre
Θησαυρός Ελληνικής Γλώσσης	Thesaurus Linguae Graecae
Ραβάνο νταλε Κάρτσερι	Ravano dalle Carceri
Ultimate (Pet Shop Boys)	Ultimate (álbum de Pet Shop Boys)
TV5 Monde	TV5 Monde
Διατροφολογία	Nutrición
Τηγανητό τουρσί	Pepinillo frito
Λίμνη Βλάσινα	Lago Vlasina
Γλουταρική οξυουρία τύπου 1	Aciduria glutárica tipo I
Κόμανα Ποντική	Comana Pontica
Ρακόρ (κινηματογράφος)	Continuidad cinematográfica
Σία	Sia (mitología)
Αδελφές του Ελέους	Hermanas de la Misericordia
Αλέξανδρος (Όπερα)	Alessandro (ópera)
Ελικοπτεροφόρο Σαϊπάν	USS Saipan (LHA-2)
Ρενέ Ζιράρ (ποδοσφαιριστής)	René Girard (futbolista)
Σταντ Μπορντελαί	Stade Bordelais
Νορντίν Βότερ	Nordin Wooter
Συκοφαντία του αίματος (Ρόδος 1840)	Libelo de sangre de Rodas
Ρύπες	Ripes
Νήσος Αγκιλκία	Isla Agilkia
Μάχη της Σάντα Κλάρα	Batalla de Santa Clara
Τάφος του Αποστόλου Πέτρου	Tumba de San Pedro
Αθανάσιος	Atanasio (nombre)
Τζέιμς Γκιστ	James Gist
Λεονάρντο Ζαρντίμ	Leonardo Jardim
Ο Θίασος	El viaje de los comediantes
Rolls-Royce Avon	Rolls-Royce Avon
Ρώμη (αποσαφήνιση)	Rome
Γραίγος	Gregal
Σοντοσίμα	Shōdoshima
Εμιράτο της Λάριδα	Taifa de Lérida
Θαρσίς	Tharsis (Marte)
Ρωμανία	Romania
Ρόγιαλ Λεοπάρτς ΦΚ	Royal Leopards
Οινοτουρισμός	Enoturismo
Οργανικές ενώσεις με φωσφόρο	Organofosforado
ΦΚ Τελεόπτικ	F. K. Teleoptik
Master Hands	Master Hands
Βενιζέλος	Venizelos
Β΄ κατηγορία ποδοσφαίρου ανδρών Κύπρου	Segunda División de Chipre
ΟΣ Σταντ Ταμποναίζ	US Stade Tamponnaise
Ρωσική Αρμενία	Armenia rusa
Αιδοίο	Vulva
Καστεγιόν (αποσαφήνιση)	Castellón (desambiguación)
Κρηναίες	Creneas
Τοξότης (αστρολογία)	Sagitario (astrología)
Καθεδρικός Λα Σέο	Catedral del Salvador de Zaragoza
Ποσοτική γλωσσολογία	Lingüística matemática
Κατάλογος Βασιλέων της Ελλάδας	Anexo:Reyes de Grecia
Αρτεμίσιο Εύβοιας	Artemisio
Νόηση	Cognición
Κατάλογος τουρκικών αεροπορικών εταιρειών	Anexo:Aerolíneas de Turquía
Βιθέντε Εχάτε Τόμι	Vicente Ehate Tomi
Δήμος Πωγωνίου	Pogoni
Γέφυρα Σάμι	Puente Sami
Ρόμπερτ Τέιτ Μακένζι	Robert Tait McKenzie
Ερωτικός σαδομαζοχισμός	Sadomasoquismo
Άγιος Ανδρέας, Τζαμάικα	Parroquia de Saint Andrew (Jamaica)
Ακρίτας Χλώρακας	Akritas Chlorakas FC
Μαρίνα Αλεξάντροβα	Marina Aleksandrova
Πόλη της Ζανζιβάρης	Zanzíbar (ciudad)
Τρίγωνο του Κέπλερ	Triángulo de Kepler
Μοντάλε (Σαν Μαρίνο)	Montale (San Marino)
Μικροσωμάτιο	Microcuerpo
Πατριάρχης Άνθιμος Ζ΄	Antimo VII
Ούρι	Uri (India)
Thymalus limbatus	Thymalus limbatus
Live at the Royal Albert Hall (άλμπουμ των Who)	Live at the Royal Albert Hall (álbum de The Who)
Κυκλάμινο το κυπριακό	Cyclamen cyprium
Μοναστήρι Σιμόνοφ	Monasterio Símonov
Σχίζα Μεσσηνίας	Schiza
Dash Kappei	Chicho Terremoto
ΦΚ Λιούμπιμετς 2007	Lyubimets 2007
Διηνέκης	Dienekes
Verba volant, scripta manent	Verba volant scripta manent
Αρκάς	Arcás
R/2004 S 1	Anillo R/2004 S 1
River Deep – Mountain High	River Deep – Mountain High
Παραλαυριονίτης	Paralaurionita
Λιονέλ Χόρχε Νούνιες	Leonel Núñez
Ουδέν εξ ουδενός	Nada surge de la nada
Ηλεκτρονικό παιχνίδι	Juego electrónico
Μεθυλοκυκλοπροπάνιο	Metilciclopropano
Σπάρτζι	Spargi
Ουπαλίτης	Upalita
Βαγγέλης Νάστος	Evangelos Nastos
Δουκάτο της Φλωρεντίας	Ducado de Florencia
Κορκ Σέλτικ	Cork Celtic FC
Μυθολογία Χόπι	Mitología hopi
Ακαδημία Καλών Τεχνών (Φινλανδία)	Academia de Bellas Artes (Finlandia)
Εθνική Σουηδίας U19 (ποδόσφαιρο ανδρών)	Selección de fútbol sub-20 de Suecia
Εθνική Σουηδίας U21 (ποδόσφαιρο ανδρών)	Selección de fútbol sub-23 de Suecia
Βιντάζ (συγκρότημα)	Vintage (banda)
ΠΦΚ Σπάρτακ Πλέβεν	PFC Spartak de Pleven
Χάποελ Ιερουσαλήμ ΦΚ	Hapoel Jerusalem FC
Πηνελόπη (όπερα)	Pénélope
Ασπάλαθος	Calicotome villosa
Αντρέ Πίτερς	André Piters
Scottish Football League	Liga escocesa de fútbol
Πέδρο δε Κάνδια	Pedro de Candía
Ηφαιστειακός πόρος	Chimenea volcánica
Κατάλογος πόλεων και πολιούχων αγίων	Anexo:Santos patronos de localidades
Λιοντάρι Μασάι	Panthera leo massaica
Φαιναρέτη	Fainarate
Φελίτσε Ναπολεόνε Κανεβάρο	Félix Napoleón Canevaro
Στέλιος Βενετίδης	Stylianos Venetidis
Σομπρίνο δελ Μποτίν (Μαδρίτη)	Sobrino de Botín
Βασιλεία των Δουκάδων	Periodo de los duques
Maiden England '88	Maiden England
Πέρκελε	Perkele
Ντουάρτε Β' της Μπραγκάνζα	Eduardo Nuño de Braganza
Νέοι Εκδικητές	Los Nuevos Vengadores
Riven	Riven
Λόγια βυζαντινή γραμματεία	Literatura bizantina
Πύργος Γκουινίτζι	Torre Guinigi
Last of the American Girls	Last of the American Girls
Λουκ Κέιτζ	Luke Cage
Χακόμπο Σανθ	Jacobo Sanz
Αρτινίτης	Artinita
L'Indépendant (Ανατολικά Πυρηναία)	L'Indépendant
Υπουργείο Παιδείας	Ministerio de Educación
Αραουκάνα	La Araucana
Πίγρης	Pigres de Halicarnaso
Κύπελλο Λα Μάνχα	Copa La Manga
Ουιξκιλούκαν	Huixquilucan
Σαρλ Αλφόνς Γκυμερύ	Charles Gumery
Music Fund	Music Fund
Εθνική Σερβίας U21 (ποδόσφαιρο ανδρών)	Selección de fútbol sub-23 de Serbia
Love etc.	Love etc.
Σεργίτσι Λήμνου	Sergitsi
Σερβία του Μοράβα	Serbia del Morava
Εθνική Κίνας (καλαθοσφαίριση γυναικών)	Selección femenina de baloncesto de China
Λίρα Ιταλικής Ανατολικής Αφρικής	Lira de África Oriental Italiana
Ρουπία Ιταλικής Σομαλιλάνδης	Rupia de Somalia italiana
Σομάλο της Ιταλικής Σομαλιλάνδης	Somalo (moneda)
Βραδύπους	Folivora
3-σφαίρα	3-esfera
Πέτροτζετ ΦΚ	Petrojet FC
Φλάβιος Φιλόστρατος	Filóstrato de Atenas
Παλάτι των Αρχιεπισκόπων της Ναρμπόν	Palacio de los Arzobispos de Narbona
Μισέλ Κολόμπ	Michel Colombe
Μπομπ Άρμστρονγκ	Bob Armstrong
Αφρικανικός γιγάντιος φρύνος	Amietophrynus superciliaris
Πεζοπορικός Όμιλος Λάρνακας	Pezoporikos Larnaca
Πέιτζ (παλαίστρια)	Saraya-Jade Bevis
Φοίνικας Ντουμ	Hyphaene thebaica
Πανφίλο Καστάλντι	Panfilo Castaldi
Shito-Ryu	Iwata Genzo
Ιωάννα της Γαλλίας (1391–1433)	Juana de Valois, duquesa de Bretaña
Μπάσρα (Μαρόκο)	Basra (Marruecos)
ΦΚ Ραντνίτσκι Ομπρένοβατς	FK Radnički Obrenovac
Αλεξάνδρεια η Εσχάτη	Alejandría Escate
Στρατιωτικό πραξικόπημα στη Γουινέα (2008)	Golpe de Estado en Guinea en 2008
Αφίδνες	Afidnas
Όσμπουρν Φλέμινγκ	Osbourne Fleming
Ιωσήφ ο υμνογράφος	José Himnógrafo
Φράγκο του Άαργκαου	Franco de Argovia
Αγίας	Agias de Trezén
Τραϊανούπολη	Trajanópolis
Δήμος Καρδαμύλων	Kardámila
Τρεις Πύργοι του Αγίου Μαρίνου	Torres de San Marino
2009 NBA Playoffs	Playoffs NBA 2009
Ρουμπέν Βολκοβίσκι	Rubén Wolkowyski
Βασίλειο της Κάντια	Reino de Candía
Ισαβέλλα ντε Σαμπράν	Isabel de Sabran
Burnout (βιντεοπαιχνίδι)	Burnout (videojuego)
Γκρίφλετ	Sir Griflet le Fise
Φινάλε κύκλου	Final de temporada
Η Σφαγή της Χίου (πίνακας)	La matanza de Quíos
Γιώργος Πρίντεζης	Giorgos Printezis
Ιδιοπαθής Πνευμονική Ίνωση	Fibrosis pulmonar idiopática
Μήστρα	Mestra
Το Ταχυδρομείο (βιβλίο)	Cartero (novela)
Χόουλταουν	Holetown
Τσαλατενάνγκο	Chalatenango
Φερδινάνδος Πίος	Fernando de Borbón-Dos Sicilias
Around the World	Around the World (canción de Red Hot Chili Peppers)
Ηλεκτροδιαπίδυση	Electrodiálisis
Dosed	Dosed
ΦΚ Βάκερ Ίνσμπουργκ	SSW Innsbruck
The Zephyr Song	The Zephyr Song
Βρόντης	Brontes
Χρυσή Μπάλα ΦΙΦΑ	FIFA Balón de Oro
Road Trippin'	Road Trippin'
Σκήψις	Escepsis
Nights In White Satin	Nights in White Satin
True Men Don't Kill Coyotes	True Men Don't Kill Coyotes
Can't Stop	Can't Stop
Βαρσανούφιος	Barsanufio de Gaza
Σημαία της Γης	Bandera de la Tierra
Ενδηίδα	Endeis
Ιδυία	Idía
Μέδουσα (Καραβάτζιο)	Cabeza de Medusa
Cymodocea nodosa	Cymodocea nodosa
Ντον Πέρι	Doane Perry
Η Εκδίωξη του Ηλιόδωρου από το Ναό (Ραφαήλ)	La expulsión de Heliodoro del templo
Αρρηφόρια	Arreforias
Γαλάτης που σκοτώνει τη γυναίκα του και αυτοκτονεί	Gálata Ludovisi
Αρκείσιος	Arcesio (rey de Ítaca)
Νοέλια	Noelia (cantante)
Κύπελλο Λιλιάνα Ρονκέτι	Copa Ronchetti
Ζάρα (καταδρομικό)	Zara (1930)
Μπίμπλια Χεμπράικα Στουτγκαρτένσια	Biblia Hebraica Stuttgartensia
Ολοκλήρωμα Νταρμπού	Integral de Darboux
Μικτεκασίουατλ	Mictecacíhuatl
Τζιοβιάνο Τσεπανίκο	Gioviano Ipato
Instant Clarity	Instant Clarity
Vision Valley	Vision Valley
Εουρέλιους Ζουκάουσκας	Eurelijus Žukauskas
Snowbirds	Snowbirds
Οσμπούργκα	Osburga
Άρνηση του ηγουμένου	Negación del antecedente
Κοινωνική σχεδίαση	Diseño social
Game Boy Pocket	Game Boy Pocket
Αρχή της επαλήθευσης	Verificacionismo
Πανεπιστήμιο Ρώμη 3	Universidad de Roma III
Σχολή Ουταγκάουα	Escuela Utagawa
Επαρχία Άγκυρας	Provincia de Ankara
Τούιρεν	Tuireann
Ελέκτρο	Electro (cómic)
Παγκόσμιο πρωτάθλημα καλαθοσφαίρισης εφήβων	Campeonato Mundial de Baloncesto Sub-17
Λίρα Ιταλικής Σομαλιλάνδης	Lira de Somalia italiana
Seikima-II	Seikima-II
Λίρα της Ζάμπιας	Libra zambiana
Μουσείο Σχεδιασμού Χολόν	Museo del Diseño Holon
Διακόνισσα	Diaconisa
Harvest Moon: Back to Nature	Harvest Moon: Back to Nature
Scarlet's Walk	Scarlet's walk
ΦΑ Ρεντ Μπόις Ντιφερντάνζ	FA Red Boys Differdange
Ντιντό	Familia Didot
Στάδιο Βάουντεσταϊν	Stadion Woudestein
Θαλάσσια διαστρωμάτωση	Estratificación
Φιόντορ Μπονταρτσούκ	Fyodor Bondarchuk
Ένωση Ποδοσφαιρικών Ομοσπονδιών Κεντρικής Αφρικής	Unión de Federaciones de Fútbol de África Central
Λεπτή μαγκούστα της Σομαλίας	Galerella ochracea
Α΄ Κατηγορία ποδοσφαίρου ανδρών Αρμενίας	Primera Liga de Armenia
ΠΦΚ Νάφτεξ Μπουργκάς	PFC Naftex Burgas
Ρουπέν Α΄	Rubén I de Armenia
Άγιος Γεώργιος, Άγιος Βικέντιος	San Jorge (San Vicente y las Granadinas)
Ασπροσαύριδο	Trachurus mediterraneus
Εθνόσημο του Αγίου Μαρτίνου (Ολλανδία)	Escudo de Sint Maarten
Λειτουργισμός (ψυχολογία)	Funcionalismo (psicología)
Brain Thrust Mastery	Brain thrust mastery
Απτοτροπισμός	Tigmotropismo
Πανεπιστήμιο Κρήτης	Universidad de Creta
Βέρνο	Verno
Θριές	Trías
Οικογένεια των Τόκκων	Familia Tocco
Σταντ Πλαμπενεκουά	Stade Plabennecois
Κάστρο του Αγίου Ιλαρίωνα	Castillo Saint Hilarion
Νταβίδ Θουρουτούθα	David Zurutuza
Αγγλοϊσραηλίτικη θεωρία	Israelismo británico
Τάκα τάκα	Tiki-taka
Kubb	Kubb (banda)
Γκρέιτ Χάργουντ	Great Harwood
Άγιος Ανδρέας, Άγιος Βικέντιος	San Andrés (San Vicente y las Granadinas)
Ελ Γκρέκο (ταινία)	El Greco (2007)
Νίκος Ζαχαρίου	Nicola Zaccaria
Κάανθος	Caanto
Φέρεκλος	Fereclo
Τέμενος Μπόντρουμ	Mezquita de Bodrum
Ταράνσι	Taransay
Καγιάνζα	Kayanza
Archives (άλμπουμ των Rush)	Archives (álbum de Rush)
Χιλέβι Ρόμπιν	Hillevi Rombin
Τρύγος	Vendimia
Γη (αποσαφήνιση)	Earth (desambiguación)
Σπάρτη	Esparta (ciudad moderna)
Μάρκο Νε	Marco Né
Εθνική Βραζιλίας U20 (ποδόσφαιρο ανδρών)	Selección de fútbol sub-20 del Brasil
Βέλικο Μρσιτς	Veljko Mršić
Renault Sport	Renault Sport
Εθνική Ισπανίας U17 (ποδόσφαιρο ανδρών)	Selección de fútbol sub-17 de España
Σεργκέι Γκοτσμάνοφ	Serguéi Gotsmanov
Μύρινα	Mirina (Lemnos)
Ημικανονικό πολύεδρο	Poliedro semirregular
Σφαίρος (φιλόσοφος)	Esfero (filósofo)
ChemSpider	ChemSpider
Καντόνι (διοικητική διαίρεση)	Cantón (entidad subnacional)
Λεύκιππος (αποσαφήνιση)	Leucipo
Ρ. Γουάιτ Ντάρινγκ Μόλενμπεκ	Racing White Daring Molenbeek
Οικονομία των Ιροκουά	Economía iroquesa
Ιατροδικαστική σήμανση	Genética Forense
Γυναίκα (αρχαία Ελλάδα)	La mujer en la Antigua Grecia
Φρόνηση	Frónesis
Ντεπορτίβο Νιουμπλένσε	Club Deportivo Ñublense
Ο Εφιάλτης	La pesadilla
Ε.Π.Α. Λάρνακας	EPA Larnaca
Ρεβανί	Revani
Εθνική Καναδά (καλαθοσφαίριση γυναικών)	Selección femenina de baloncesto de Canadá
Ουέιν Τόμας	Wayne Thomas
Πάιονηρ Η	Pioneer H
Υπνοπομπικό στάδιο	Alucinación hipnopómpica
Ριανός	Riano (poeta)
Φρειδερίκος	Frederick
First Certificate in English	First Certificate in English
Red-Haired Shanks	Shanks
Αττικό σύστημα αρίθμησης	Numeración ática
Ουρακάν ντε Τρες Αρόγιος	Club Atlético Huracán (Tres Arroyos)
Κρατικό ομόλογο	Deuda pública en España
Μανόλης Παπαμακάριος	Manolis Papamakarios
Mega Channel	Mega Channel
Μαμαντού Σαμασά (ποδοσφαιριστής γεννημένος το 1986)	Mamadou Samassa
2008 NBA Playoffs	Playoffs NBA 2008
Λόρενς Φάντερμπερκ	Lawrence Funderburke
Γαβριήλ Αντώνιος της Ισπανίας	Gabriel de Borbón
ΝτεΜάρκο Τζόνσον	DeMarco Johnson
Κρις Μόρις	Chris Morris
Μαώ του Χάντιγκτον	Matilde de Senlis
Νέσσα	Nessa (valië)
Χούλντρα	Huldra
Δολάριο Χαβάης	Dólar hawaiano
Φηγέας	Fegeo
Ουνιάο Σάο Ζοάο Εσπόρτε Κλούμπε	União São João Esporte Clube
Σπόρος (Sporus)	Esporo
Βέρα Μπρέζνιεβα	Vera Brezhneva
Πινακίδα του Δισπηλιού	Tabla de Dispilio
Μάχη της Μαντινείας (207 π.Χ.)	Batalla de Mantinea (207 a. C.)
Αλμπέρτο Μπελσουέ	Alberto Belsué
Εθνική Ιταλίας U17 (ποδόσφαιρο ανδρών)	Selección de fútbol sub-17 de Italia
Couldn’t Stand The Weather	Couldn't Stand the Weather
Super Socket 7	Super Socket 7
Μποταφόγκο Φουτεμπόλ Κλούμπε (ΣΠ)	Botafogo Futebol Clube (Ribeirão Preto)
Πατριάρχης Ιωακείμ Δ΄	Joaquín IV
Μουζίκοι	Mujik
Χερσόνησος Όσα	Península de Osa
