આફ્રિકા	África
ગોખરુ (વનસ્પતિ)	Tribulus terrestris
સુરેન્દ્રનગર જિલ્લો	Distrito de Surendranagar
નરસિંહ	Narasinja
સોલાપૂર	Solapur
કલ્પના ચાવલા	Kalpana Chawla
દાંડી સત્યાગ્રહ	Marcha de la sal
મધ્યમ વર્ગ	Clase media
વસિષ્ઠ	Vásishtha
મરીચિ	Márichi (mitología hinduista)
સહરાનપુર	Saharanpur
જેસલમેર	Jaisalmer
બોરડી	Ziziphus zizyphus
ભાવનગર	Bhavnagar
ઝાંસી	Jhansi
મખમલ	Terciopelo
ધનબાદ	Dhanbad
એશિયન રમતોત્સવ ૨૦૧૦	Juegos Asiáticos de 2010
લાલ બહાદુર શાસ્ત્રી	Lal Bahadur Shastri
મીઠો લીમડો	Murraya koenigii
ઇવૂડ્ પાર્ક	Ewood Park
ઈંડિયા ગેટ	Puerta de la India
ઈન્દ્રકુમાર ગુજરાલ	I. K. Gujral
બ્રાઉનિંગ હાઇ-પાવર	Browning GP-35
ગયા	Gaya (India)
ચંદ્રવંશી	Dinastía lunar (hinduismo)
હેલોવીન	Halloween
સૈફ અલી ખાન	Saif Ali Khan
ફિફા	FIFA
પેટન્ટ	Patente
કોડાયકેનલ	Kodaikanal
અમરેલી જિલ્લો	Distrito de Amreli
મોગા (પંજાબ)	Moga
જુવાર	Mijo
ક્ષેત્રફળ પ્રમાણે વિશ્વના દેશોની યાદી	Anexo:Países por superficie
સાંઇબાબા	Sai Baba de Shirdi
સન્ની લિઓન	Sunny Leone
કોયલ કુટુંબ	Eudynamys
કસ્તુરબા	Kasturba Gandhi
ઈન્દ્રા નૂયી	Indra Nooyi
આરણ્યક ગ્રંથો	Araniaka
દૈયડ	Copsychus saularis
જીન્દ જિલ્લો	Distrito de Jind
આશ્રમશાળા	Internado
અમરાવતી	Amravati
અમેરિકન ગૅંગ્સ્ટર	American Gangster (película)
વર્ચ્યુઅલાઈઝેશન	Virtualización
મહા નદી	Río Mahanadi
વિંધ્યાચલ	Cordillera de Vindhya
દિસપુર	Dispur
ભારતમાં સત્તાવાર દરજ્જો ધરાવતી ભાષાઓ	Anexo:Idiomas nacionales de la India
હરદ્વાર	Haridwar
લેંગકાવી	Archipiélago Langkawi
ઋજુ ઉદર સ્નાયુ	Músculo recto mayor del abdomen
સાગુઆરો (થોર)	Carnegiea gigantea
સીતાફળ	Annona squamosa
બાળપણ	Infancia
માહે	Mahe (Puducherry)
એશિયાઇ ચિત્તો	Acinonyx jubatus venaticus
કુન્નુર	Coonoor
વંદે માતરમ્	Vande Mataram
કડ્ડલોર	Cuddalore
શ્વેતાંબર	Svetambara
ગઝલ	Gazal
શિમોગા	Shimoga
સફેદ પીઠ ગીધ	Gyps africanus
સર્પગ્રીવા	Anhinga melanogaster
ખેરખટ્ટો	Dendrocitta vagabunda
ઓલિવ રિડલી દરીયાઈ કાચબો	Lepidochelys olivacea
એબીએન એમ્રો	ABN AMRO
ચંપાવત જિલ્લો	Distrito de Champawat
લારા દત્તા	Lara Dutta
ટિલોર	Chlamydotis undulata
એકે ૧૦૧	AK-101
એકે-૧૦૩	AK-103
માડીકેરી	Madikeri
વેલ્લોર	Vellore
ઇડ્ડક્કિ જિલ્લો	Distrito de Idukki
વલસાડ	Valsad
એરન સ્વાર્ટઝ	Aaron Swartz
હોશિયારપુર જિલ્લો	Distrito de Hoshiarpur
મિડાસ	Midas
કાટવર્ણી ટપકાંવાળી બિલાડી	Prionailurus rubiginosus
આમળાં	Phyllanthus emblica
હિમાલયન પાઈકા	Ochotona himalayana
નેપોલિયન હિલ	Napoleon Hill
રોહુ માછલી	Labeo rohita
કનિષ્ક	Kanishka
સંત કબીર	Kabir
નથુરામ ગોડસે	Nathuram Godse
મહેશ ભૂપતિ	Mahesh Bhupathi
લોકમાન્ય ટિળક	Bal Gangadhar Tilak
ગુરુ ગોવિંદસિંહ	Gurú Gobind Singh
તુલસીદાસ	Tulsidas
કૂચબિહાર	Koch Bihar
જગદીશચંદ્ર બોઝ	Jagdish Chandra Bose
ગુલઝારીલાલ નંદા	Gulzarilal Nanda
સેલ્વાસ	Silvassa
સલામત મૈથુન	Sexo seguro
ઇન્વેસ્ટમેન્ટ બેન્કિંગ	Banca de inversión
બુકર ટી.વોશિંગ્ટન	Booker T. Washington
કાબરો કલકલીયો	Ceryle rudis
જમશેદજી તાતા	Jamsetji Tata
દેવ આનંદ	Dev Anand
પેરુ (ફળ)	Psidium
બદામી વાઘોમડા	Sula leucogaster
અરીઠાં	Sapindus
કોલ્લમ	Kollam
ઓદાલગુરિ જિલ્લો	Distrito de Udalguri
ભારત રત્ન	Bharat Ratna
ઘી	Ghee
સારનાથ	Sarnath
સ્વાટ	SWAT
રાકેશ શર્મા	Rakesh Sharma
બોસ કોર્પોરેશન	Bose Corporation
ભારતીય સિનેમા	Cine de la India
વ્યાસ	Viasa
કોટા	Kotah
મુરાદાબાદ	Moradabad
ભીમ બેટકાની ગુફાઓ	Abrigos rupestres de Bhimbetka
સામાન્ય તપાસની કક્ષાની બહારનું	Paranormal
રાજા રવિ વર્મા	Raya Ravi Varma
રતન તાતા	Ratan Tata
ભરતનાટ્યમ	Bharatanatyam
પેપ્સીકો	PepsiCo
રાહુલ બોસ	Rahul Bose
રાજા રામમોહનરાય	Ram Mohan Roy
ગીર રાષ્ટ્રીય ઉદ્યાન અને અભયારણ્ય	Parque nacional del Bosque de Gir
રજપુત	Rajput
દિવેલ	Aceite de ricino
ગુરુદ્વારા	Gurdwara
ઉત્તર ૨૪ પરગણા જિલ્લો	Distrito de 24 Parganas norte
નોબેલ પારિતોષિક વડે સન્માનીત મહાનુભાવો	Anexo:Ganadores del Premio Nobel
ભારતીય ભૂમિસેના	Ejército de la India
આદિવાસી	Adivasi
અડદ	Vigna mungo
સયૌં થુંગા ફુલકા	Sayaun Thunga Phool Ka
ક્રેડિટ સૂઈસ	Credit Suisse Group
કૃત્રિમ પેસમેકર	Marcapasos
રાયપુર (છત્તીસગઢ)	Raipur
ચિત્તાગોંગ	Chittagong
દિલીપ કુમાર	Dilip Kumar
મેઘનાદ સહા	Meghnad Saha
સી રાજગોપાલાચારી	Chakravarti Rajagopalachari
ધર્મેન્દ્ર	Dharmendra
થાઇલેન્ડનો ઇતિહાસ	Historia de Tailandia
મીથુન ચક્રવર્તી	Mithun Chakraborty
ક્રિયાવિશેષણ	Adverbio
માર્કો કાસાગ્રાન્ડ	Marco Casagrande
અઝીમ પ્રેમજી	Azim Premji
ઊર્જા બચત	Eficiencia energética
વિડિયો કેસેટ રેકોર્ડર (વીસીઆર)	Videograbadora
કાર્તિકેય	Karttikeya
મોલિનીઊ સ્ટેડિયમ	Molineux Stadium
સોજી	Sémola
માનવેંદ્રસિંહ ગોહીલ	Manvendra Singh Gohil
સુશ્રુત	Súsruta
સંચય	Devengo
કોરોકોરો ટાપુ	Isla Corocoro
વસ્તીવધારો	Crecimiento poblacional
પાટલીપુત્ર	Pataliputra
અગસ્ત્ય	Agastya
બેસિલિકા ઑફ બોમ જીસસ	Basílica del Buen Jesús de Goa
માથ્થીની લખેલી સુવાર્તા	Evangelio de Mateo
કૌસ્તુભ	Kaustubha
અગ્નિ	Agni
અમદાવાદ જિલ્લો	Distrito de Ahmedabad
સરદાર વલ્લભભાઈ પટેલ આંતરરાષ્ટ્રીય હવાઈ મથક	Aeropuerto Internacional Sardar Vallabhbhai Patel
અહમદનગર જિલ્લો	Distrito de Ahmednagar
કારગિલ યુદ્ધ	Guerra de Kargil
ડાર્ટ (પ્રોગ્રામિંગ ભાષા)	Dart
એર ઈન્ડિયા ફ્લાઇટ ૧૮૨	Vuelo 182 de Air India
એર ઇન્ડિયા એક્સપ્રેસ	Air India Express
ઇલેક્ટ્રોપ્લેટિંગ (વિદ્યુતવિઘટન દ્વારા ઢોળ ચઢાવવાની પ્રક્રિયા)	Galvanizado
અજમેર જિલ્લો	Distrito de Ajmer
અજમો	Trachyspermum ammi
કારેલું	Momordica charantia
જન્માષ્ટમી	Janmashtami
લીલા મજમુદાર	Leela Majumdar
લોપકચિહ્ન	Apóstrofo
અલવાર જિલ્લો	Distrito de Alwar
આંબેડકર નગર જિલ્લો	Distrito de Ambedkar Nagar
આમેરનો કિલ્લો	Fuerte Amber
ઝિટ્ટારા	IMI Tavor
ફેડએક્સ	FedEx
હસ્તિનાપુર	Jastinápura
દમણ	Damán (India)
મહાબળેશ્વર	Mahabaleshwar
નિલગીરી માઉન્ટેઇન રેલ્વે	Ferrocarril de la montaña Nilgiri
દાર્જીલીંગ હિમાલયન રેલ્વે	Ferrocarril Darjeeling del Himalaya
સાયના નેહવાલ	Saina Nehwal
પૂર્વ ઘાટ	Ghats orientales
મીરા નાયર	Mira Nair
અપર્ણા સેન	Aparna Sen
મીરાંબાઈ	Mirabai
અલકા યાજ્ઞિક	Alka Yagnik
કેન્દ્રશાસિત પ્રદેશ	Territorios de la Unión
વેરાઇઝન કમ્યુનિકેશન્સ	Verizon Communications
ધીરુભાઈ અંબાણી	Dhirubhai Ambani
ચેસ્ટર કાર્લસન	Chester Carlson
હેરી બ્રેર્લી	Harry Brearley
સોનૂ નિગમ	Sonu Niigaam
રામફળ	Annona reticulata
બળદ	Buey
કલ્કિ	Kalki
વિશ્વકર્મા	Vishua Karma
ભારતનું બંધારણ	Constitución de la India
નવરોઝ	Nouruz
શૈલી	Género artístico
એશિયાઈ રમતોત્સવ	Juegos Asiáticos
એલન શીયરર	Alan Shearer
અનુકૂલન	Adaptación biológica
એલિસ ઇન ચેઇન્સ	Alice in Chains
ગુરુ	Gurú
એન્ડ્રુ કાર્નેગી	Andrew Carnegie
મગ	Vigna radiata
ઇ-કોમર્સ	Comercio electrónico
ઔરંગઝેબ	Aurangzeb
રાની મુખર્જી	Rani Mukerji
આણંદ જિલ્લો	Distrito de Anand
હુમાયુ	Humayun
દુનિયાની પ્રાચીન સાત અજાયબીઓ	Siete maravillas del mundo antiguo
અબ્રામા (જલાલપોર)	Abrama
સમોસા	Samosa
ડી. ડબલ્યુ. સ્ટેડિયમ	DW Stadium
ચોળા	Vigna unguiculata
કાલિમપોંગ	Kalimpong
બ્રિટાનિયા સ્ટેડિયમ	Britannia Stadium
ઋષિકેશ	Rishikesh
વર્ણકોષાશય	Cromatóforo
રાયડો	Brassica juncea
માનસ રાષ્ટ્રીય ઉદ્યાન	Parque nacional de Manas
ઇલેક્ટ્રોમાયોગ્રાફી	Electromiografía
દેશી કાગડો	Corvus splendens
જંતર મંતર	Jantar Mantar
બાલુશાહી	Balushahi
મણિપુરી નૃત્ય	Manipuri
કવ્વાલી	Qawwali
બકરી ઈદ	Eid al-Adha
પેરેન જિલ્લો	Distrito de Peren
વેરાવળ	Veraval
વિશ્વ ક્ષય દિન	Día Mundial de la Tuberculosis
અલોંગ	Along
અકોલા જિલ્લો	Distrito de Akola
ગડગ	Gadag-Betageri
આંકડો (વનસ્પતિ)	Calotropis gigantea
સિરસા જિલ્લો	Distrito de Sirsa
આઝમગઢ	Azamgarh
રીવા જિલ્લો	Distrito de Rewa
ગુલાબી પેણ	Pelecanus rufescens
રોનાલ્ડો	Ronaldo
સુંદરવન	Parque nacional de Sundarbans
ન્યુટ્રાસ્યુટીકલ	Nutracéutico
બાવળ	Goma arábiga
ગારીયાધાર	Gariadhar
અંગિરસ	Ánguiras
મહી નદી	Río Mahi
રાજૌરી જિલ્લો	Distrito de Rajouri
લિમ્બો(પ્રોગ્રામિંગ ભાષા)	Limbo (lenguaje de programación)
ઉધઈ	Isoptera
હુગલી જિલ્લો	Distrito de Hugli
નાશ પામેલા કપોત	Raphinae
સારાવાક ગુફા	Gruta de Sarawak
સુનીલ ગાવસકર	Sunil Manohar Gavaskar
એમ એફ હુસૈન	Maqbool Fida Husain
વિશ્વ મહાસાગરો દિવસ	Día Mundial de los Océanos
સેન્ટ મેરી સ્ટેડિયમ	St Mary's Stadium
દૂધરાજ	Terpsiphone paradisi
કપિલ	Kapila (sabio ateo)
વડોદરા જિલ્લો	Distrito de Vadodara
ઉત્તર કન્નડ જિલ્લો	Distrito de Uttara Kannada
પાટણ	Patan (Guyarat)
ગોલપારા	Goalpara
લિબર્ટી સ્ટેડિયમ	Liberty Stadium
દહેગામ	Dahegam
ઉડ્ડપી	Udupi
અમરોહા	Amroha
એલેપ્પી	Alappuzha
અલંગ	Alang
અરાહ	Arrah
બદ્રીનાથ	Badrinath
અંકલેશ્વર	Anklesvar
અનૂપપુર	Anuppur
આંકલાવ	Anklav
અરિયાલુર	Ariyalur
અમરેલી	Amreli
બગસરા	Bagasara
ઔરંગાબાદ, બિહાર	Aurangabad (Bihar)
ફેક જિલ્લો	Distrito de Phek
મૈસૂર જિલ્લો	Distrito de Mysore
ઔરંગાબાદ જિલ્લો	Distrito de Aurangabad
બુરહાનપુર	Burhanpur
કુરુક્ષેત્ર	Kurukshetra
સિટી ગ્રાઉન્ડ	City Ground
પન્ના	Panna
પીલ ડિસ્ટ્રિક્ટ સ્કૂલ બોર્ડ	Consejo Distrital de Escuelas de Peel
રાજસમન્દ જિલ્લો	Distrito de Rajsamand
ખીલ (રોગ)	Pústula (dermatología)
કેશોદ	Keshod
સરસ્વતી લિપિ	Escritura del Indo
શ્યામમુખ વાઘોમડા	Sula dactylatra
ભારતીય માનક સમય	Zona horaria de la India
મંડલા	Mandla
મધિયો	Pernis ptilorhynchus
રાજાલાલ	Pericrocotus flammeus
વેલી ઓફ ફ્લાવર્સ રાષ્ટ્રીય ઉદ્યાન	Parque nacional del Valle de las Flores
હિતોપદેશ	Jitopadesa
આગ્રા જિલ્લો	Distrito de Agra
સોનભદ્ર જિલ્લો	Distrito de Sonbhadra
કરનાલ જિલ્લો	Distrito de Karnal
તિરુવલ્લુર	Tiruvallur
કાંકેર	Kanker
કાનપુર દેહાત જિલ્લો	Distrito de Ramabai Nagar
પશ્ચિમ સિક્કિમ જિલ્લો	Distrito de Sikkim occidental
કૈથલ જિલ્લો	Distrito de Kaithal
જનમેજય	Yanameyaiá
એલેન્ડ રોડ	Elland Road
ભુજ હવાઇમથક	Aeropuerto de Bhuj
કિંગ પાવર સ્ટેડિયમ	King Power Stadium
શ્યોપુર જિલ્લો	Distrito de Sheopur
ઉમરિયા જિલ્લો	Distrito de Umaria
હોશંગાબાદ જિલ્લો	Distrito de Hoshangabad
હોશંગાબાદ	Hoshangabad
પ્રિફર્ડ સ્ટોક	Acción preferente
બાલાસિનોર	Balasinor
ઓનલાઈન વિજ્ઞાપન	Publicidad en Internet
દક્ષિણ ગંગોત્રી	Base Dakshin Gangotri
કન્નોજ જિલ્લો	Distrito de Kannauj
કે સી સ્ટેડિયમ	KC Stadium
સાબરમતી નદી	Río Sabarmati
જબલપુર જિલ્લો	Distrito de Jabalpur
તુવેર	Cajanus cajan
હંગ્રી પેઢીના	Generación hambrienta
તમેન્ગલોન્ગ	Tamenglong
દીમાપૂર જિલ્લો	Distrito de Dimapur
અરમાની	Armani
ડેરી	Industria láctea
ગોડ્ડા જિલ્લો	Distrito de Godda
માહે જીલ્લો	Distrito de Mahe
અર્ધનારીશ્વર	Ardhanari
હિલ્સબોરો સ્ટેડિયમ	Estadio Hillsborough
રાષ્ટ્રીય ધોરીમાર્ગ 1 (ભારત)	Autopista Nacional 1 (India)
રાષ્ટ્રીય ધોરીમાર્ગ 1A (ભારત)	Autopista Nacional 1A (India)
ઉજળો ગીધ	Gyps himalayensis
માઇક્રોસોફ્ટ ઓફિસ ૨૦૦૭	Microsoft Office 2007
એલિફન્ટાની ગુફાઓ	Grutas de Elefanta
રતલામ	Ratlam
ખંભાતનો અખાત	Golfo de Khambhat
સિરમૌર જિલ્લો	Distrito de Sirmaur
બાજરો	Pennisetum glaucum
સિમ્બાદ (SIMBAD)	SIMBAD
સાધુ	Sadhu
અપરિગ્રહ	Aparigraha
હીજડા	Hijra
ખોર્ધા જિલ્લો	Distrito de Khordha
ઝીરો, અરુણાચલ પ્રદેશ	Ziro
મહિષાસુર	Majishá
લક્સ (સાબુ)	Lux (jabón)
મસૂરી	Mussoorie
તાપી જિલ્લો	Distrito de Tapi
ઘંટી	Muela de molino
શ્રીકાકુલમ	Srikakulam
સ્વિસ બેંક	Banca suiza
માચુ પીચુ	Machu Picchu
વિપશ્યના	Vipassana
તેલંગાણા	Telangana
ટ્રાન્સપોર્ટ ફોર લંડન	Transport for London
શ્રીમદ્ ભાગવતમ્	Bhagavata-purana
ટર્ફ મૂરે	Turf Moor
મહેન્દ્રગઢ જિલ્લો	Distrito de Mahendragarh
પક્ષી અવલોકન	Observación de aves
ભદ્રક જિલ્લો	Distrito de Bhadrak
બાતુ ગુફાઓ (મલેશિયા)	Cuevas de Batu
વૃંદાવન	Vrindavan
ભારદ્વાજ	Bharadvaya
રિંગટોન	Ringtone
માઉન્ટ આબુ	Monte Ābū
ચોલામંડલમ	Grandes templos vivientes Chola
તાપી નદી	Río Tapti
વર્ધમાન	Bardhaman
બારડોલી	Bardoli
લીંબડી	Limbdi
બસ્તી	Distrito de Basti
એશિયાના દેશોની સૂચિ	Anexo:División política de Asia
વાલ્મીકિ	Valmiki
આર્ય સમાજ	Arya Samaj
ભાણવડ	Bhanvad
વાંદરું	Semnopithecus
કાંગડા જિલ્લો	Distrito de Kangra
ઋગ્વેદ	Rig-veda
ગાયત્રી	Gayatri
ગંગુબાઇ હંગલ	Gangubai Hangal
દેવરિયા જિલ્લો	Distrito de Deoria
હઠ યોગ	Hatha yoga
વેરિસાઇન	Verisign
વીંજ	Viverricula indica
વિશ્વ સંભાષણ અક્ષમતા જાણકારી દિન	Día Mundial de Concienciación sobre el Autismo
વીજલપોર	Vijalpor
યેઘીશે ચારેન્ત્સ	Yeghishe Charents
હુગલી નદી	Río Hugli
કેદારનાથ	Kedarnath
ભારતીય જ્યોતિષવિદ્યા	Yiotisha
ઇન્દૌર જિલ્લો	Distrito de Indore
ચિકમંગલૂર જિલ્લો	Distrito de Chikmagalur
વેક્યૂમ પંપ	Bomba de vacío
કટની જિલ્લો	Distrito de Katni
પુષ્કર	Púshkar
કાળો જળ કાગડો	Phalacrocorax fuscicollis
પાપલેટ માછલી	Bramidae
મમિત જિલ્લો	Distrito de Mamit
કોણાર્ક સૂર્ય મંદિર	Templo de Suria (Konark)
કાયામ્બે (જ્વાળામુખી)	Volcán Cayambe
જળ માર્જર	Lutrogale perspicillata
તાંગ્ગુલા રેલ્વે સ્ટેશન (તિબેટ)	Estación de ferrocarril de Tanggula
વિશ્વ સાક્ષરતા દિન	Día Internacional de la Alfabetización
અત્રિ	Atri
ભાયાવદર	Bhayavadar
ભભુઆ	Bhabua
ભચાઉ	Bhachau
ભરૂચ	Bharuch
ભાગલપુર	Bhagalpur
ધ્રુવ હેલીકોપ્ટર	HAL Dhruv
પારિજાત	Pārijāta
હાવેરી જિલ્લો	Distrito de Haveri
અલીગઢ જિલ્લો	Distrito de Aligarh
તળાજા	Talaja
સાહિબગંજ જિલ્લો	Distrito de Sahibganj
ઊંઝા	Unjha
સિંધુદુર્ગ જિલ્લો	Distrito de Sindhudurg
દાંતનો વિકાસ	Desarrollo dentario
દક્ષિણ એશિયા	Asia del Sur
તમિલ	Tamil
રામનાથપુરમ	Ramanathapuram
ખેડા	Kheda
ગંજામ જિલ્લો	Distrito de Ganjam
અશોક ચક્ર	Chakra Ashoka
વિલિયમ વિલ્સન(તરણશાસ્ત્રી)	William Wilson (natación)
કપૂરથલા	Kapurthala
સ્વલૈંગિકૌત્તેજના	Autoerotismo
કંપની (કાયદો)	Empresa
આઝમગઢ જિલ્લો	Distrito de Azamgarh
અઝટેક ચિત્રલિપિ	Escritura mexica
ભિંડ	Bhind
બીએસઈ સેન્સેક્સ	BSE Sensex
બાબર	Babur
ભુજ	Bhuj
કોયલ	Eudynamys scolopaceus
બદૌન	Badaun (ciudad)
બલાંગીર જિલ્લો	Distrito de Balangir
બનાસકાંઠા જિલ્લો	Distrito de Banaskantha
વાંસવાડા જિલ્લો	Distrito de Banswara
વર્ધમાન વિભાગ	División Bardhaman
વર્ધમાન જિલ્લો	Distrito de Bardhaman
બરગઢ જિલ્લો	Distrito de Bargarh
શિન્તો	Sintoísmo
સમઘન	Cubo
બીડ જિલ્લો	Distrito de Beed
બેલગામ જિલ્લો	Distrito de Belgaum
કરુર	Karur
દ્વારકા	Dwarka
પત્તાદકલ	Pattadakal
તાલુકો	Tehsil
ગંગોત્રી	Gangotri
સેન્ટ એન્ડ્રુ સ્ટેડિયમ	St Andrew's Stadium
ભારતીય રેલ	Indian Railways
બ્રાહ્મણ ગ્રંથો	Bráhmana (texto)
પરશુરામ	Parashurama
વેબ ઓન્ટોલોજિ ભાષા	OWL
નાનો કરકરીયો	Acrocephalus agricola
હવા મહેલ	Hawa Mahal
લાહૌલ અને સ્પીતી જિલ્લો	Distrito de Lahaul y Spiti
કથકલી	Kathakali
ચાતક	Clamator jacobinus
સ્મૃતિ	Smriti
પુરુષનું પ્રજનનતંત્ર	Aparato reproductor masculino
એસ્કેરિયાસિસ	Ascariasis
ડાંગર	Arrozal
નારદ મુનિ	Narada
કુંતી	Kuntí
વિશ્વ બાળમજૂરી વિરોધ દિન	Día Mundial contra el Trabajo Infantil
કચ્છનો અખાત	Golfo de Kutch
મછલીપટનમ	Machilipatnam
વિકિપીડિયાની યાદી	ISO 639-3
ભારતીય તારક કાચબો	Geochelone elegans
શરણાઈ	Shehnai
શિવરાત્રિ	Maha Shivaratri
ચંદ્રગુપ્ત પ્રથમ	Chandragupta I
ધોતીયું	Dhoti
દત્તાત્રેય	Dattatreya
વીઝેડ ૫૮	Vz. 58
અશ્વગંધા (વનસ્પતિ)	Withania somnifera
ભજન	Bhajan
ભરતપુર જિલ્લો	Distrito de Bharatpur
ભરૂચ જિલ્લો	Distrito de Bharuch
ભાવનગર જિલ્લો	Distrito de Bhavnagar
ભૃગુ	Bhrigu (sabio)
વિશ્વ જનસંખ્યા દિન	Día Mundial de la Población
ઝભ્ભો	Kurta
વરૂ	Canis lupus pallipes
આંતરરાષ્ટ્રીય નૃત્ય દિવસ	Día Internacional de la Danza
પાંડુ	Pandú
વીર્ય દાન	Donación de esperma
બોરસદ	Borsad
વરાહમિહિર	Varaja Mijira
ચલથાણ	Chalthan
ચામરાજનગર જિલ્લો	Distrito de Chamrajnagar
રાજગીર	Rajgir
ઘોરાડ	Ardeotis nigriceps
ભારતનું પ્રવેશદ્વાર	Puerta de la India (Bombay)
નોબેલ પારિતોષિક વડે સન્માનીત મહિલાઓ	Anexo:Mujeres ganadoras del Premio Nobel
કાર્ડિફ સિટી સ્ટેડિયમ	Cardiff City Stadium
ચૈતન્ય મહાપ્રભુ	Chaitania
ઈટાવા	Etawah
વેળાવદર કાળિયાર રાષ્ટ્રીય ઉદ્યાન	Parque nacional de Blackbuck
બ્લેકપૂલનો ટાવર	Torre de Blackpool
ચેંગલોન્ગ	Changlang
ભારતના રાષ્ટ્રપતિઓની યાદી	Anexo:Presidente de la India
વસુદેવ	Vasudeva (padre de Krisna)
દ્રોણ	Drona
કાંશીરામ નગર જિલ્લો	Distrito de Kanshiram Nagar
ઉજ્જૈન જિલ્લો	Distrito de Ujjain
બ્રહ્મોસમાજ	Brahmo Samaj
શૂદ્ર	Shudrá
તુમકુર	Tumkur
ખનીજ તેલનું ઉત્પાદન કરતા દેશોની યાદી	Anexo:Países por producción de petróleo
દક્ષિણ અમેરિકાના દેશોની યાદી	Anexo:Países de América del Sur
હૈલાકાંડી	Hailakandi
મદદ:સૂચિ	Ayuda:Contenidos
ટોંક જિલ્લો	Distrito de Tonk
રાયચૂર	Raichur
વેદાંગ	Vedanga
લક્ષ્મણ	Lákshmana
પાપડ	Appalam
ઢોસા	Dosa
લોહરદગ્ગા	Lohardaga
ભાખરી	Bhakri
કનરા બુલબુલ	Pycnonotus leucogenys
શાહજીરું	Bunium persicum
લઘુ ધિરાણ	Microfinanza
અરડૂસી	Justicia adhatoda
ધ્રોલ	Dhrol
હોશિયારપુર	Hoshiarpur
એલેપ્પી જિલ્લો	Distrito de Alappuzha
ગુના જિલ્લો	Distrito de Guna
વિશ્વ રક્તદાન દિવસ	Día Mundial del Donante de Sangre
સ્વામિનારાયણ	Swaminarayan
નાગલી	Eleusine coracana
વિષ્ણુપુર જિલ્લો	Distrito de Bishnupur
તીતર	Francolinus pondicerianus
લોટસ ટેમ્પલ, દિલ્હી	Templo del loto
મોહિનીયટ્ટમ	Mohiniyattam
ખાખરો	Butea monosperma
થાણા જિલ્લો	Distrito de Thane
સિલચર	Silchar
વિષ્ણુ સહસ્રનામ	Visnú-sajasra-nama
પર્યાવરણીય શિક્ષણ	Educación ambiental
શાસ્ત્રીય ભાષા	Lengua clásica
શોલે	Sholay
લાખ	Lakh
કથક	Kathak
જીમ કોર્બેટ રાષ્ટ્રીય ઉદ્યાન	Parque nacional de Jim Corbett
પાલનપુર	Palanpur
ગોરડ	Acacia senegal
કોહિમા જિલ્લો	Distrito de Kohima
કોપ્પલ જિલ્લો	Distrito de Koppal
ફોર્બ્સ	Forbes
ઈડલી	Idli
હસન જિલ્લો	Distrito de Hassan
અરવલ	Arwal
વીણા	Vina
તુલસી	Ocimum tenuiflorum
વાંસળી	Bansuri
મારુતિ સુઝુકી	Maruti Udyog
રોહતક જિલ્લો	Distrito de Rohtak
ગૂડિસન પાર્ક	Goodison Park
હવાઇ	Hawai (India)
જેતપુર	Jetpur
યમનોત્રી	Yamunotri
કુરુક્ષેત્ર જિલ્લો	Distrito de Kurukshetra
વર્ધા જિલ્લો	Distrito de Wardha
ચિકમંગલુર	Chikmagalur
યુધિષ્ઠિર	Iudistira
છિન્દવાડા	Chhindwara
કોટા જિલ્લો	Distrito de Kota
રીવા	Rewa (Madhya Pradesh)
વરૂણ	Váruna
એલુર	Eluru
હુગલી ચુચુરા	Hugli-Chuchura
મેદિનીપુર	Midnapore
તવાંગ	Tawang
માંડ્યા	Mandya
સાગર	Sagar
જગદાલપુર	Jagdalpur
કૃષ્ણાગિરિ	Krishnagiri
વઢવાણ	Wadhwan
હજારીબાગ	Hazaribagh
મુનાર	Munnar
લલિતપુર	Lalitpur (India)
ઉખરુલ (મણિપુર)	Ukhrul
શિવગંગાઇ	Sivaganga
હાવેરી	Haveri
હાફલોન્ગ	Haflong
મલપ્પુરમ જિલ્લો	Distrito de Malappuram
હેલ બેરી	Halle Berry
અબાબીલ લટોરો	Artamus fuscus
જેટકનેક્ટ	JetLite
વિશ્વ બૌદ્ધિક સંપદા દિન	Día Mundial de la Propiedad Intelectual
દ્રૌપદી	Draupadi
ચંબા જિલ્લો	Distrito de Chamba
ચંબલ નદી	Río Chambal
આઇ એસ ઓ ૯૦૦૧	ISO 9001
બલરામ	Balarama
કચ્છ જિલ્લો	Distrito de Kutch
આંતરરાષ્ટ્રીય યુવાદિન	Día Internacional de la Juventud
સેલહર્સ્ટ પાર્ક	Selhurst Park
ચાટ મસાલો	Chaat masala
યોગસૂત્ર	Yoga sutra
ફિંગર ઇલેવન	Finger Eleven
ચીપકો આંદોલન	Chipko
કંસારો (પક્ષી)	Megalaima haemacephala
ચિત્તોડગઢ જિલ્લો	Distrito de Chittorgarh
વાલ	Lablab purpureus
તીર્થંકર	Tirthankara
કાળા માથાનો કશ્યો	Coracina melanoptera
નવગ્રહ	Navagraha
દર્શન	Filosofía hindú
અગન ચંડુલ	Mirafra javanica
શિરાજી કાબર	Acridotheres ginginianus
નાગેશ્વર	Nageshwar
ચુરુ જિલ્લો	Distrito de Churu
ભારતનો સ્વાતંત્ર્ય સંગ્રામ	Movimiento de independencia indio
ઘૃષ્ણેશ્વર	Grishneshwar
ભીમાશંકર	Bhimashankar
ઓમકારેશ્વર	Omkareshwar
