Āfrika	África
Krīze	Crisis
Tekvondo 2008. gada Vasaras Olimpiskajās spēlēs	Anexo:Taekwondo en los Juegos Olímpicos de Pekín 2008
2009. gada Francijas atklātais čempionāts tenisā	Torneo de Roland Garros 2009
One of the Boys	One of the boys (álbum de Katy Perry)
Beļģijas Futbola asociācija	Real Federación Belga de Fútbol
Snovbords 2010. gada Ziemas Olimpiskajās spēlēs	Anexo:Snowboard en los Juegos Olímpicos de Vancouver 2010
Azerbaidžānas Futbola federācija	Asociación de Federaciones de Fútbol de Azerbaiyán
2011. gada Austrālijas atklātais čempionāts tenisā	Abierto de Australia 2011
Speciālists	Perito
Aéro-Service	Aero-Service
Specefekts	Efectos especiales
Ignāts Konovalovs	Ignatas Konovalovas
Entonijs Pārkers	Anthony Parker
Termobāriskie ieroči	Bomba termobárica
Monta Eliss	Monta Ellis
Miša Maiskis	Mischa Maisky
Demogrāfiskā pāreja	Transición demográfica
Sergejs Lazarevs	Serguéi Lázarev
Isana	Tailandia del Nordeste
Ēmunds Vecais	Emund el Viejo
Denjels Bērbenks	Daniel C. Burbank
Noriks Abe	Norifumi Abe
Džons Oto	John Otto
DJ Lethal	DJ Lethal
Mariano Rivera	Mariano Rivera
Viens pats mājās 3	Home Alone 3
Raibumainā pīle	Stictonetta naevosa
Operas spoks	El fantasma de la ópera (musical de 1986)
Solar Dynamics Observatory	Solar Dynamics Observatory
Oasis	Oasis (banda)
Peress	Pérez (apellido)
Ziemeļrietumu federālais apgabals	Distrito federal del Noroeste
Grāds	Grado
Džentlmeņi izvēlas blondīnes	Los caballeros las prefieren rubias
Krūmu sīļi	Aphelocoma
Jurga Ivanauskaite	Jurga Ivanauskaitė
Tumblr	Tumblr
Lukova	Łuków
Mozambikas prezidents	Presidente de Mozambique
Lenčna	Łęczna
Ļubercu @@@u0026Triumf"	BC Zenit San Petersburgo
Dona Huana dīķis	Lago Don Juan
Speak Now	Speak Now
Voranavas rajons	Raión de Voranava
Melnsakne	Scorzonera hispanica
Proskēnijs	Proscenio
Celtniecība	Construcción
Virknes ports	Puerto serie
Glauks	Glauco
Dominiks Stross-Kāns	Dominique Strauss-Kahn
Autoradiopuhelin	Autoradiopuhelin
2008. gada WRC sezona	Temporada 2008 del Campeonato Mundial de Rally
Svidnīkas apriņķis	Distrito de Svidník
Valtra	Valtra
Alkudija	Alcudia
Oktāva	Octava
Djego Ramiresa salas	Islas Diego Ramírez
Tokio Hotel	Tokio Hotel
Tīmekļa izstrāde	Desarrollo web
Kaiovu-tanoanu valodas	Lenguas kiowa-tañoanas
Mazira	Mózyr
Ēdamgliemeņu dzimta	Mytilidae
Palmu žagata	Ptilostomus afer
Sanmarīno eiro monētas	Monedas de euro de San Marino
Emanuels Adebajors	Emmanuel Adebayor
Kāsla metode	Castle
Malibu	Malibú (California)
Hermanis fon Bukshēvdens	Hermann de Dorpat
Sņardvijs	Lago Śniardwy
Stambulas pazemes funikulieris	Tünel
Āfrikas lamantīns	Trichechus senegalensis
Libērijas futbola izlase	Selección de fútbol de Liberia
Svidņica	Świdnica
Bārene (filma)	La huérfana
Lihtenšteinas Futbola asociācija	Asociación de Fútbol de Liechtenstein
Svebodzice	Świebodzice
DHL Aero Expreso	DHL Aero Expreso
Svebodzina	Świebodzin
Zarndobumaiņi	Celentéreo
Svece (pilsēta)	Świecie
Galda teniss 2008. gada Vasaras Olimpiskajās spēlēs	Anexo:Tenis de mesa en los Juegos Olímpicos de Pekín 2008
Hollywood Records	Hollywood Records
Sultanahmetas laukums	Hipódromo de Constantinopla
Nakts muzejā	Night at the Museum
Bosnijas un Hercegovinas Futbola asociācija	Federación de Fútbol de Bosnia y Herzegovina
Rokijs 4	Rocky IV
Drošais jaukšanas algoritms	Secure Hash Algorithm
Mārja-Līsa Ilusa	Maarja-Liis Ilus
Emotions	Emotions (álbum)
Memento Mori	Memento Mori (álbum)
Volodimirecas rajons	Raión de Volodymyrets
Blusu kārta	Siphonaptera
Japānas sieviešu futbola izlase	Selección femenina de fútbol de Japón
Siksiki	Pies negros
2008. gada ASV atklātais čempionāts tenisā	Anexo:Abierto de Estados Unidos 2008
Šanliurfas ils	Provincia de Sanliurfa
Ergenekon	Red Ergenekon
Furosemīds	Furosemida
Eiropas autoceļš E07	Ruta europea E07
Nāmestovo apriņķis	Distrito de Námestovo
NBA sezonas labākais ģenerālmenedžeris	Ejecutivo del Año de la NBA
Trabzonas ils	Provincia de Trebisonda
Valahijas kņaziste	Principado de Valaquia
Audi 80/90/4000	Audi 80
Murkšķi	Marmotini
Tērbatas bīskapija	Obispado de Dorpat
Ņemča	Niemcza
1972.—1973. gada NBA sezona	Temporada 1972-73 de la NBA
Baltijas ceļš	Cadena Báltica
Grieķu-romiešu cīņa	Lucha grecorromana
Ahemenīdu impērija	Imperio aqueménida
Kuriļu salu strīds	Conflicto de las islas Kuriles
Sirds slimības	Enfermedades cardiovasculares
Grieķijas Futbola federācija	Federación Helénica de Fútbol
Kartons	Cartón
Lady Antebellum	Lady Antebellum
Congratulations (Eirovīzija)	Congratulations: 50 years of the Eurovision Song Contest
Kvintets	Quinteto (música)
Žužanna Jakaboša	Zsuzsanna Jakabos
Independence Hall	Independence Hall
Club Penguin	Club Penguin
Austrālijas Alpi	Alpes Australianos
The Miracle	The Miracle
Brīvības zvans	Campana de la Libertad
2007. gada Eiropas čempionāts basketbolā	Campeonato Europeo de Baloncesto Masculino de 2007
Lajošs Portišs	Lajos Portisch
Albānijas Futbola asociācija	Federación Albanesa de Fútbol
Šišli rajons	Şişli
Agasi ezers	Lago Agassiz
Purva bruņurupuču dzimta	Emydidae
Baltijas Kauss futbolā	Copa Báltica
Kalnu slēpošana 2014. gada Ziemas Olimpiskajās spēlēs	Anexo:Esquí alpino en los Juegos Olímpicos de Sochi 2014
Tannere Meisa	Tanner Mayes
Armēnijas Futbola federācija	Federación de Fútbol de Armenia
Dienvidrietumu divīzija (NBA)	División Suroeste de la NBA
American Life	American Life
Barselona (Venecuēla)	Barcelona (Venezuela)
Imagine Dragons	Imagine Dragons
Visāfrikas spēles	Juegos Panafricanos
Krievijas basketbola izlase	Selección de baloncesto de Rusia
Šilute	Šilutė
Hemodialīze	Hemodiálisis
Ščastja	Shchastia
Sīpola maršrutēšana	Encaminamiento de cebolla
Visu laiku ienesīgākās filmas	Anexo:Películas con las mayores recaudaciones
FK Moskva	Football Club Moscú
Starptautiskais pakts par pilsoniskajām un politiskajām tiesībām	Pacto Internacional de Derechos Civiles y Políticos
Tokyo Mew Mew	Tokyo Mew Mew
Zviedrijas hokeja līga	Svenska hockeyligan
Tevantepekas zemesšaurums	Istmo de Tehuantepec
Mateja evaņģēlijs	Evangelio de Mateo
Vāle	Clava
Ares I	Ares I
Grand Prix Cycliste de Québec	Gran Premio de Quebec
Grand Prix Cycliste de Montréal	Gran Premio de Montreal
Štramberka	Štramberk
Sanfrancisko līgums	Tratado de San Francisco
Dienaskārtības teorija	Teoría del establecimiento periodístico de temas
Samaras jūra	Mar de Samar
Šurani	Šurany
Sventāja	Šventoji
Švitrigailis	Švitrigaila
Ģeoloģiskais periods	Período geológico
Želehova	Żelechów
Žmigroda	Żmigród
Welcome to Paradise	Welcome to Paradise
Žirardova	Żyrardów
Žagare	Žagarė
Kauņas "Žalgiris"	Žalgiris Kaunas
Raffaello	Raffaello (desambiguación)
Željezovce	Želiezovce
Labākie vizuālie efekti (Amerikas Kinoakadēmijas balva)	Anexo:Óscar a los mejores efectos visuales
Žeļko Obradovičs	Želimir Obradović
Žemaiši	Samogitios
Žemaiču Kalvarija	Žemaičių Kalvarija
Nāve (nozīmju atdalīšana)	Death (desambiguación)
Narvas līcis	Bahía de Narva
Sausne	Materia seca
Kingedvardpointa	Base King Edward Point
Pūrisms	Purismo
Žara pie Hronas	Žiar nad Hronom
Hieroglifi	Jeroglífico (desambiguación)
Židiki	Židikai
Kontakts (elektrotehnika)	Contacto eléctrico
Aļģirds Butkevičs	Algirdas Butkevičius
Kadriļa	Cuadrilla (danza)
Žukausks	Žukauskas
Židrūns Karčemarsks	Žydrūnas Karčemarskas
Bohēmijas Agnese	Inés de Bohemia
Seda (Lietuva)	Seda (ciudad)
Nida	Nida
Agni	Agni
Maikls Dž. Fokss	Michael J. Fox
The Game	The Game
Agra	Agra (desambiguación)
300 (nozīmju atdalīšana)	300 (desambiguación)
Plostošana	Maderadas en España
Sančess	Sánchez (desambiguación)
GER	GER
Garsija	García (desambiguación)
Agroekoloģija	Agroecología
Agrelīts	Agrellita
Alfonso II	Alfonso II
Agrinja	Agrinio
Brēgels	Bruegel
Hosa	Hossa
Boļeslavs I	Boleslao I
Toljati (nozīmju atdalīšana)	Togliatti
Jāņa 3:16	Juan 3:16
Paulista	Paulista
Meitene ar pērļu auskaru (nozīmju atdalīšana)	La joven de la perla (desambiguación)
Luiss Suaress	Luis Suárez
24 (nozīmju atdalīšana)	24 (desambiguación)
Ostrovskis	Ostrovski
Agvilarīts	Aguilarita
Tičīno	Ticino
Svētā Antonija kārdināšana	La tentación de San Antonio
11 (nozīmju atdalīšana)	Eleven (desambiguación)
Oracle	Oracle (desambiguación)
Fiesta	Fiesta (desambiguación)
Golovins	Golovín
Kravas kosmosa kuģis	Nave espacial de suministros no tripulada
1,4-benzohinons	1,4-Benzoquinona
Melnkāju sesks	Mustela nigripes
Gabrjela de Kastilja	Base Antártica Gabriel de Castilla
Huankarlosa I	Base Antártica Juan Carlos I
Konkordija	Base Concordia
Vispasaules Misijas Sabiedrība Dieva Baznīca	Iglesia de Dios Sociedad Misionera Mundial
Viljams Brūss	William Speirs Bruce
Wireshark	Wireshark
Tenesms	Tenesmo rectal
Dimondirvila	Estación Dumont d'Urville
Aidis Kropis	Aidis Kruopis
Pluņģes rajona pašvaldība	Distrito Municipio de Plungė
Aikinīts	Aikinita
Krabjēdājjenots	Procyon cancrivorus
Muļķu kuģis	La Nave de los locos
Ainaži	Ainaži
Zelta medaļa	Medalla de oro
Paģiras (nozīmju atdalīšana)	The Hangover (desambiguación)
Tigra (nozīmju atdalīšana)	Tigra (desambiguación)
NPD (nozīmju atdalīšana)	NPD
Mikrometrs (nozīmju atdalīšana)	Micrómetro
Alumīnija hidroksīdi	Hidróxido de aluminio
Sorbīnskābe	Ácido sórbico
Fenoli	Compuesto fenólico
Etilacetāts	Etanoato de etilo
Policikliskie aromātiskie ogļūdeņraži	Hidrocarburo aromático policíclico
Dimetiltriptamīns	Dimetiltriptamina
Kalcija sulfāts	Sulfato de calcio
Bārija hlorīds	Cloruro de bario
Nitrobenzols	Nitrobenceno
Fenciklidīns	Fenciclidina
Linolskābe	Ácido linoleico
Nātrija hlorāts	Clorato de sodio
Nātrija oksīds	Óxido de sodio
Etilēnoksīds	Óxido de etileno
Hemicelulozes	Hemicelulosa
Oksikodons	Oxicodona
Skvalēns	Escualeno
Bārija hidroksīds	Hidróxido de bario
Sertralīns	Sertralina
Arahidonskābe	Ácido araquidónico
Air Panama	Air Panamá
Joda nitrīds	Triyoduro de nitrógeno
Baltijas Gaisa patrulēšanas misija	Policía Aérea del Báltico
Hlorbenzols	Clorobenceno
Acetanhidrīds	Anhídrido acético
Dekstrometorfāns	Dextrometorfano
Baldriānskābe	Ácido valérico
Dimetilēteris	Éter dimetílico
Hinolīns	Quinoleína
Eksotoksīni	Exotoxina
Skābeņetiķskābe	Ácido oxaloacético
Pāvila vēstule efeziešiem	Epístola a los Efesios
Kālija heksacianoferāts (III)	Ferricianuro de potasio
Rezorcīns	Resorcinol
Šahnerīts	Schachnerita
Kālija oksīds	Óxido de potasio
Timols	Timol
Urāna heksafluorīds	Hexafluoruro de uranio
Bārija oksīds	Óxido de bario
Pirolidīns	Pirrolidina
Pirazols	Pirazol
Bufotenīns	Bufotenina
Diacetils	Diacetilo
Slāpekļūdeņražskābe	Azida de hidrógeno
Peroksisērskābe	Ácido peroxosulfúrico
Psilocīns	Psilocina
Metiloranžs	Naranja de metilo
Bārija karbonāts	Carbonato de bario
Piperazīns	Piperazina
Glikolskābe	Ácido glicólico
Ibogaīns	Ibogaína
Benzofenons	Benzofenona
Kaprilskābe	Ácido caprílico
Arahīnskābe	Ácido araquídico
Glutārskābe	Ácido glutárico
Acetoetiķskābe	Ácido acetoacético
Tetrils	Tetril
Bromoforms	Bromoformo
Kumols	Cumeno
Interleikīns 2	Interleucina-2
Piperidīns	Piperidina
Ambligonīts	Ambligonita
Transferīns	Transferrina
Silāni	Silano
Feniletiķskābe	Ácido fenilacético
Bifenils	Bifenilo
Fluoresceīns	Fluoresceína
Monoamīnoksidāzes inhibitori	Inhibidores de la monoamino oxidasa
Amlodipīns	Amlodipina
Benzoila peroksīds	Peróxido de benzoílo
Aizkraukle	Aizkraukle
Aizpute	Aizpute
Jaunība (nozīmju atdalīšana)	Juventud (desambiguación)
18 (nozīmju atdalīšana)	18 (desambiguación)
Izohinolīns	Isoquinoleína
Amilnitrīts	Nitrito de amilo
Hinoni	Quinona
Jodoforms	Yodoformo
Furfurols	Furfural
Karvedilols	Carvedilol
Interleikīns 6	Interleucina-6
1940. gada Olimpiskās spēles	Juegos Olímpicos de 1940
Adžoīts	Ajoíta
Cirks (nozīmju atdalīšana)	Circo (desambiguación)
1944. gada Olimpiskās spēles	Juegos Olímpicos de 1944 (desambiguación)
Indra (nozīmju atdalīšana)	Indra (desambiguación)
Dimetilsulfāts	Sulfato de dimetilo
Tiazols	Tiazol
Polivinilpirolidons	Povidona (polímero)
Oksazols	Oxazol
Alakranīts	Alacranita
Sebacīnskābe	Ácido sebácico
Bioplastmasa	Bioplástico
Titāna tetrahlorīds	Cloruro de titanio (IV)
Hidroksilapatīts	Hidroxiapatita
Difenhidramīns	Difenhidramina
Akantīts	Acantita
Azelaīnskābe	Ácido azelaico
Salvinorīns A	Salvinorina
Allargentums	Alargento
Krezoli	Cresol
Klotrimazols	Clotrimazol
Glioksilskābe	Ácido glioxílico
Cres	Cres
Acetazolamīds	Acetazolamida
Silīcija nitrīds	Nitruro de silicio
Oktanitrokubāns	Octanitrocubano
Krotonskābe	Ácido crotónico
Katinons	Catinona
Pimelīnskābe	Ácido pimélico
Alilspirts	Alcohol alílico
Shirase	Shirase
Masson	Masson
Daudzvērtīgie spirti	Polialcohol
BTC	BTC
Svece (nozīmju atdalīšana)	Candela (desambiguación)
Akatsuki	PLANET-C
Krūmu vārna	Zavattariornis stresemanni
Bekets	Becket
Krespi	Crespi
Sērglikozīdi	Glucosinolato
Metandienons	Dianabol
Stanozolols	Estanozolol
Acebutolols	Acebutolol
Bulls	Bulls
Noda	Noda
Hidrohinons	Hidroquinona
Akajaure	Akkajaure
Akomodācija	Acomodación (ojo)
Akrēcija	Acrecimiento
Akmeisms	Acmeísmo
Aknīste	Aknīste
Taenīts	Taenita
Alabandīts	Alabandina
Akrohordīts	Acrocordita
Dihlofoss	Diclorvos
Felodipīns	Felodipina
Oksandrolons	Oxandrolona
Akrotērijs	Acrotera
Laktīds	Lactida
Aksi	Aksi
Kalcija kanālu blokatori	Bloqueador de los canales de calcio
Nandrolons	Nandrolona
Acetamīds	Acetamida
Diciāns	Cianógeno
Borāti	Borato
Jodmetāns	Yoduro de metilo
Metilēnhlorīds	Cloruro de metileno
Vara (II) oksīds	Óxido de cobre (II)
Pentaeritrīts	Pentaeritritol
Berlīnes zilais	Azul de Prusia
Aktoru tīklu teorija	Teoría del Actor-Red
Malonskābe	Ácido malónico
Anhidrīds	Anhidruro
Kālija heksacianoferāts (II)	Ferrocianuro de potasio
Citokinīni	Citoquinina
Fenantrēns	Fenantreno
Antracēns	Antraceno
Hrizoberils	Crisoberilo
Spironolaktons	Espironolactona
Oktogēns	HMX
Sirds glikozīdi	Glucósido cardíaco
Gostiņa	Gostyń
Burundi prezidenti	Anexo:Gobernantes de Burundi
Kālija fluorīds	Fluoruro de potasio
Kālija perhlorāts	Perclorato de potasio
Mikotoksīni	Micotoxina
Broka	Broca (desambiguación)
Glikokortikoīdi	Glucocorticoide
Behenskābe	Ácido behénico
Kapronskābe	Ácido hexanoico
Kaprīnskābe	Ácido cáprico
Laurīnskābe	Ácido láurico
Lignocerīnskābe	Ácido lignocérico
Miristīnskābe	Ácido mirístico
Hlormetāns	Clorometano
C reaktīvais olbaltums	Proteína C reactiva
Nitrosavienojumi	Nitroderivado
Svina acetāts	Acetato de plomo (II)
Argentīts	Argentita
Allēns	Propadieno
Propionskābe	Ácido propanoico
Fenakīts	Fenaquita
Hlorpikrīns	Cloropicrina
Kortizons	Cortisona
Integrāļu saraksts	Anexo:Integrales
Glicerīnaldehīds	Gliceraldehído
Aktivitāte	Actividad (química)
Sinigrīns	Sinigrina
Lipīdu dubultslānis	Bicapa lipídica
Cervonskābe	Ácido docosahexaenoico
Interleikīns 10	Interleucina - 10
Indīgs augs	Plantas tóxicas
Akure	Akure
Ftalskābe	Ácido ftálico
Hidrohlortiazīds	Hidroclorotiazida
Delta daļiņa	Barión delta
Karbazols	Carbazol
Lambda daļiņa	Barión lambda
Sigma daļiņa	Barión sigma
Papuasi	Papúes
Omega daļiņa	Barión omega
Akūtas fāzes olbaltumi	Proteínas de fase aguda
Lobe	Lóbulo
Polihidroksibutirāts	Ácido polihidroxibutírico
Misa	Misa (desambiguación)
Akcidence	Accidente (filosofía)
Akče	Akçe
Sasolīns	Sassolita
Aksas mošeja	Mezquita de Al-Aqsa
Tiglīnskābe	Ácido tíglico
Lapseņu virsdzimta	Vespoidea
McDonnell Douglas X-36	McDonnell Douglas X-36
1975. gada Eiropas čempionāts basketbolā	Campeonato Europeo de Baloncesto Masculino de 1975
Ministry	Ministry
Raibais fazāns	Phasianus versicolor
Sekante	Recta secante
Mars	Mars
Dumpinieks bez iemesla	Rebelde sin causa
Volkers, Teksasas reindžers	Walker, Texas Ranger
Korpuss (kuģa)	Casco (náutica)
Deils Gārdners	Dale Gardner
Vitriols	Vitriolo
Fermentu inhibitors	Inhibidor enzimático
Opioīdi	Opioide
LT United	LT United
1994. gada Pasaules čempionāts basketbolā	Campeonato Mundial de Baloncesto de 1994
Atirau apgabals	Provincia de Atyrau
FIBA Americas	FIBA Américas
10000 (skaitlis)	Diez mil
Afganistānas Islāma Emirāts	Emirato Islámico de Afganistán
UCI šosejas riteņbraukšanas Pasaules rangs	Ranking UCI
Ēnu ekonomika	Mercado gris
Par Ģermānijas atrašanās vietu un tautām	Germania (libro)
Violetā krāsa	Violeta (color)
Roberts Plānts	Robert Plant
Šaha olimpiāde	Olimpiadas de ajedrez
Makreļu apakškārta	Scombroidei
Svaļavas rajons	Raión de Svaliava
Harāma mošeja	Masjid al-Haram
Antarktiskā konverģence	Convergencia antártica
Velikijbereznijas rajons	Raión de Velyky Bereznyi
Užhorodas rajons	Raión de Uzorodsky
Rahivas rajons	Raión de Rakhiv
Tjačivas rajons	Raión de Tiachiv
Perečinas rajons	Raión de Perechyn
Hellēnisms	Período helenístico
Robertu Karlušs	Roberto Carlos (futbolista)
Autoceļš A1 (Lietuva)	Autopista A1 (Lituania)
Sārta krāsa	Rosa (color)
Panamas Nacionālā banka	Banco Nacional de Panamá
The Need for Speed	The Need for Speed
Rietumkrasta hiphops	West Coast rap
Operācija @@@u0026Highjump"	Operación Highjump
Svētais Džovanni Kalabria	Juan Calabria
72. Kinoakadēmijas balva	Anexo:Premios Óscar de 1999
Autoceļš A2 (Lietuva)	Autopista A2 (Lituania)
Maksims Traņkovs	Maksim Trankov
Briljants	Brillante (joyería)
Algodonīts	Algodonita
Alofans	Allofanita
Avanturīns	Aventurina
Selenīts (minerāls)	Selenita
Ametrīns	Ametrino
Cefeja Gamma Ab	Gamma Cephei Ab
Plakāts	Cartel
Lepidolīts	Lepidolita
Prazems	Crisoprasa
Kamasīts	Camacita
Labradors (minerāls)	Labradorita
Heliotrops	Heliotropo (mineral)
Dīrborna	Dearborn (Míchigan)
Rozenbergs	Rosenberg
Nevšehiras ils	Provincia de Nevşehir
Kristina (dziedātāja)	Kristína Peláková
Nācarete	Nazaret
Āzijas cilvēkpērtiķi	Ponginae
2011. gada Pasaules čempionāts biatlonā	Campeonato Mundial de Biatlón de 2011
Sunrise: A Song of Two Humans	Amanecer (película)
Turcijas ekonomika	Economía de Turquía
DB2	DB2
Atlantropa	Atlantropa
Zīmols	Marca
Maiami Masters	Masters de Miami
Spēks un slava	El poder y la gloria
Interešu grupa	Grupo de interés
Mikrocefālija	Microcefalia
Kubitālā tuneļa sindroms	Atrapamiento del nervio cubital
TD Garden	TD Garden
Vismežice	Wyśmierzyce
Dizdžes ils	Provincia de Düzce
Šugarlandes ekspresis	The Sugarland Express
Varakļānu novads	Municipio de Varakļāni
In Through the Out Door	In Through the Out Door
Valērijs Kubasovs	Valeri Kubásov
Ellija Heiza	Allie Haze
Birgita Eigemēla	Birgit Õigemeel
Laura Peldvere	Laura Põldvere
Natālija Gordijenko	Natalia Gordienko
Uļjana Semjonova	Uliana Semiónova
Indija Sammere	India Summer
APT (albums)	APT (álbum)
27 (skaitlis)	Veintisiete
Anna Lāce	Asja Lācis
.eh	.eh
.sj	.sj
Ričards Bērbidžs	Richard Burbage
.yu	.yu
.bv	.bv
Niks Galis	Nikos Galis
Johans Laidoners	Johan Laidoner
.gb	.gb
Aleksandrs Rībs	Alexander Rueb
Alans Heils	Alan Hale
Ļevs Polugajevskis	Lev Polugayevski
.um	.um
Kalnu zebiekste	Mustela altaica
Duglass Mosons	Douglas Mawson
Ēriks Dālbergs	Erik Dahlbergh
.zr	.zr
35 (skaitlis)	Treinta y cinco
Jurijs Averbahs	Yuri Averbaj
Riks Berijs	Rick Barry
20th Century Fox	20th Century Fox
Maiks Kšiževskis	Mike Krzyzewski
Luidži Rusolo	Luigi Russolo
Ketrīna Greiema	Katharine Graham
Indijas Okeāna Britu Teritorijas ģerbonis	Escudo del Territorio Británico en el Océano Índico
64 (skaitlis)	Sesenta y cuatro
Melisa Metisone	Melissa Mathison
Sergejs Belovs	Serguéi Belov
Krievijas mēru sistēma	Unidades de medida obsoletas de Rusia
Apostrofs	Apóstrofo
Altenberga	Altenberg (Sajonia)
Emanuela Riva	Emmanuelle Riva
Dienvidāfrikas Republikas pilsētu uzskaitījums	Anexo:Localidades de Sudáfrica
Grejas anatomija	Grey's Anatomy
Alternativa Sociale	Alternativa Social
PHP paātrinātājs	PHP accelerator
1 − 2 + 3 − 4 + · · ·	1 − 2 + 3 − 4 + · · ·
Maikls Rodžerss	Michael Rogers
Djego Ulisi	Diego Ulissi
Marks Žozefs Marions di Frens	Marc-Joseph Marion du Fresne
Arnds Peifers	Arnd Peiffer
Maikls Berets	Michael R. Barratt
Sendijs Koufekss	Sandy Koufax
Lī Devaizs	Lee DeWyze
Ernests Gideons fon Laudons	Ernesto Gedeón von Laudon
Šenons Brauns	Shannon Brown
Timotijs Kopra	Timothy Kopra
Oto Nordenšelds	Otto Nordenskjöld
Jāns Kirsipū	Jaan Kirsipuu
Ēriks Spūlstra	Erik Spoelstra
Džeimss Džonss	James Andrew Jones
Haralls Sverdrups	Harald Sverdrup
Sems Džonss	Sam Jones
Moriss Denī	Maurice Denis
Henrijs Sertīss	Henry Surtees
Evans Tērners	Evan Turner
Kurts Aterbergs	Kurt Atterberg
Stīvs Aizermens	Steve Yzerman
Ronalds Gērens	Ronald John Garan
Edvards Kāzners	Edward Kasner
Meleagrs (dzejnieks)	Meleagro de Gádara
Jans Veselijs	Jan Veselý
Māris Štrombergs	Māris Štrombergs
Els Džefersons	Al Jefferson
Emma Marrone	Emma Marrone
Bruno Peletjē	Bruno Pelletier
Tonijs Allens	Tony Allen
Denjels Gibsons	Daniel Gibson
Marko Belinelli	Marco Belinelli
Pops	Pops
Unitas	Unitas
Jeļena Bonnere	Yelena Bónner
Eirāzijas ūdri	Lutra
Čārlzs Džūtro	Charles Jewtraw
Kristofers Fērgusons	Christopher Ferguson
Kleitons Andersons	Clayton Anderson
Džemals Krofords	Jamal Crawford
Dāniels Alfredsons	Daniel Alfredsson
Anatolijs Solovjovs	Anatoly Solovyev
Džordžs Zamka	George D. Zamka
Nikola Vujčičs	Nikola Vujčić
Tanels Kangerts	Tanel Kangert
Niki Terpstra	Niki Terpstra
Larss Baks	Lars Ytting Bak
Kriss Ankers Serensens	Chris Anker Sørensen
Davids Ortiss	David Ortiz
Alupka	Alupka (Crimea)
Geralds Cjoleks	Gerald Ciolek
Stīvens Lindsijs	Stephen Wayne Lindsey
Kategorija:Vēsture pēc tēmas	Categoría:Historia temática
Kategorija:Arhitektūras vēsture	Categoría:Historia de la arquitectura
Kategorija:Militārā vēsture	Categoría:Historia militar
Hjētils Jansru	Kjetil Jansrud
Anatolijs Gorbunovs	Anatolijs Gorbunovs
Lūks Voltons	Luke Walton
Toms Vaitkus	Tomas Vaitkus
Kategorija:Interneta vēsture	Categoría:Historia de Internet
Roberts Daunijs	Robert Downey
Riba	Riba
PHB	PHB
Alīta	Alytus
Francisks	Francisco (papa)
Hieronims Emiliani	Jerónimo Emiliani
Amaģuaks	Lago Amadjuak
Santjago Botero	Santiago Botero
Rodrigo de Bastidass	Rodrigo de Bastidas
Gīdo van der Garde	Giedo van der Garde
Luišs Razija	Luiz Razia
Pīters Vēnings	Pieter Weening
Liuve Vestra	Lieuwe Westra
Andrejs Keiperss	André Kuipers
Dzīvnieku aizstāvības ētika	Ética animal
Gvinejas-Bisavas futbola izlase	Selección de fútbol de Guinea-Bisáu
Eritrejas futbola izlase	Selección de fútbol de Eritrea
Džordžs Ketlins	George Catlin
Amāzija	Amasia
Zviedrijas Futbola asociācija	Asociación Sueca de Fútbol
Džeimss Korbets	James J. Corbett
Jurģis Mačūns	George Maciunas
Amaja Valdemoro	Amaya Valdemoro
ULEB Eirokauss	Eurocup
Somijas hokeja līga	Liiga
Peters Prevcs	Peter Prevc
Amazones lamantīns	Trichechus inunguis
Beisbols 2008. gada Vasaras Olimpiskajās spēlēs	Anexo:Béisbol en los Juegos Olímpicos de Pekín 2008
Amazones (putni)	Amazona (animal)
Ričards Čīzs	Richard Cheese
Bobijs Halls	Bobby hull
Viviens Fukss	Vivian Ernest Fuchs
Trojs Mērfijs	Troy Murphy
Džeroms Iginla	Jarome Iginla
Lerijs Ādlers	Lawrence Cecil Adler
Vladimirs Iļjušins	Vladímir Iliushin
Pēteris Bīrons	Peter von Biron
Gregs Popovičs	Gregg Popovich
Džačinto Šelsi	Giacinto Scelsi
Mozus no Leonas	Mosé ben Sem Tob de León
Lāslo Sabo	László Szabó
Pols Arizins	Paul Arizin
Vess Anselds	Wes Unseld
Romans Romaņenko	Roman Romanenko
Francijas rokasbumbas izlase	Selección de balonmano de Francia
Ričards Bartelmess	Richard Barthelmess
Maskavas CSKA (vīriešu basketbola klubs)	PBC CSKA Moscú
Starptautiskais pakts par ekonomiskajām, sociālajām un kultūras tiesībām	Pacto Internacional de Derechos Económicos, Sociales y Culturales
Sulehova	Sulechów
Krievijas Federālā sapulce	Asamblea Federal de Rusia
Emblins	Amblin'
Amblin Entertainment	Amblin Entertainment
Šudža Durrānī	Shuja Shah Durrani
Maiks Brauns	Mike Brown (entrenador)
Kevins Mārtins	Kevin Martin
Renalds Seibutis	Renaldas Seibutis
Nikolass Zisis	Nikos Zisis
Gērijs Frensione	Gary Francione
76. Kinoakadēmijas balva	Anexo:Premios Óscar de 2003
Karstākais dienas laiks	Tarde de perros
Konradīns Kreicers	Conradin Kreutzer
TAR-21	IMI Tavor
Sabiha Gekčena	Sabiha Gökçen
Burundi futbola izlase	Selección de fútbol de Burundi
Čelendžera dzelme	Abismo Challenger
Dokumentālā hipotēze	Hipótesis documentaria
Fernandu Luišs Roza	Fernando Luiz Rosa
Literatūras teorija	Teoría literaria
LCROSS	LCROSS
Sebastjēns Lefēvrs	Sébastien Lefebvre
