افريقا	África
يوني ماشين	Propulsor iónico
نېټه	Fecha
ایزو ۹۰۰۰	Normas ISO 9000
اليسع	Eliseo
معمولي څوڅ	Delphinus delphis
ترچ مير	Tirich Mir
مطبوعاتي اعلاميه	Comunicado de prensa
محمد نجيب الله	Mohammad Najibulá
قونسلگري	Cónsul (servicio exterior)
زنځيري غوڅندۍ	Motosierra
فدرالي قبايلي سيمې	Áreas tribales (Pakistán)
گونگه ښارو	Bombycillidae
د مذهب فلسفه	Filosofía de la religión
ډايازيپم	Diazepam
سوخوی سو-۲۴	Sukhoi Su-24
کورټيکوسټېرويډ	Corticosteroide
غوږور ښاپېرک	Plecotus auritus
چندړ	Santalum album
سيد قطب	Sayyid Qutb
بوکو حرام	Boko Haram
السلام عليکم	Salam
خسرو پرويز	Cosroes II
اېنډوسکوپي	Endoscopia
طبله	Tabla (instrumento de percusión)
غونډل	Theraphosidae
گندهارا	Gandhara
کوډېکس	Códice
يان ژيژکا	Jan Žižka
ستره لوبه	El Gran Juego
لاجورد	Lapislázuli
مقتدی الصدر	Muqtada al-Sadr
چت	Piso
يزيد بن معاويه	Yazid I
آلانين	Alanina
ښکلي هنرونه	Bellas artes
افدرين	Efedrina
ای اچ ۱ کبرا	Bell AH-1 Cobra
سورة الفاتحة	Fatiha
سورة التوبة	At-Tawba
جنگسالار	Señor de la guerra
د سږو امبولي	Tromboembolismo pulmonar
ښي لاسی او کيڼ لاسی ترافيک	Sentido de circulación
برات	Shaabán
De Havilland Mosquito	De Havilland DH.98 Mosquito
کيشپ	Testudines
شکودا اوکټاويا	Škoda Octavia
سټېنگر FIM-92	FIM-92 Stinger
دماغي مړينه	Muerte cerebral
مخ (چاپي رسنۍ)	Page
د وټيزو همکاريو سازمان	Organización de Cooperación Económica
شوننېزم	Chovinismo
امريکا غږ	Voz de América
درې بعدي چاپگر	Impresión 3D
سورة الاحزاب	Al-Ahzab
مامولکه	Motacilla
حسن البنا	Hasan al-Banna
ډېل کارنېگي	Dale Carnegie
روح الله نېکپا	Rohullah Nikpai
مېتی	Pico (herramienta)
مادهوري ډکشټ	Madhuri Dixit
جامنو	Syzygium cumini
د ماغزو تومور	Tumor cerebral
د افغان-انگرېز دويمه جگړه	Segunda guerra anglo-afgana
سار	Buteo rufinus
اکشې کمار	Akshay Kumar
مکه معظمه	Provincia de La Meca
سپين توت	Morinda citrifolia
سورت	Sura
د هند کمونیست گوند (مارکسیست)	Partido Comunista de la India (Marxista)
حديث	Hadiz
شاپور ۲	Sapor II
حج	Hajj
ټې-۸۰	T-80
ان هيداوې	Anne Hathaway (Shakespeare)
لونيک	Lunaria annua
امام بخاري	Muhammad Ibn Ismail Al-Bujari
ميل مي - ۲۸	Mil Mi-28
ديکلوفيناک	Diclofenaco
سوخوی سو ۳۵	Sukhoi Su-35
پيچکاري	Inyección (medicina)
د غزنويانو ټولواکمني	Imperio gaznávida
ابن طفيل	Ibn Tufail
ملالۍ جويا	Malalai Joya
فيفا	FIFA
سوشميتا سېن	Sushmita Sen
ليلا علي	Laila Ali
بېنزيل پېنيسيلين	Bencilpenicilina
۳۹×۷،۶۲ مرمی	7,62 × 39 mm
ږدن	Mijo
سيما ثمر	Sima Samar
ماريه قبطيه	Maria al-Qibtiyya
حفصه بنت عمر بن خطاب	Hafsa bint Umar
اميشا پټېل	Amisha Patel
صفيه بنت حيي بن اخطب	Safiyya bint Huyayy
حاد مايلوييد ليوکېمي	Leucemia mieloide aguda
حاد کرونري ساينډروم	Síndrome coronario agudo
د کارلشتین کلا	Castillo de Karlštejn
بلنځه	Haloxylon
اروپايي اوښاره	Mantis religiosa
پلسيوسور	Plesiosauria
کاموف کا ٥٠	Kamov Ka-50
گڼ پوهيال	Polimatía
شري دېوي	Sridevi
د سپاه پاسداران انقلاب اسلامی ځواک	Cuerpos de la Guardia Revolucionaria Islámica
آنتونوف-۱۲	Antonov An-12
نوشاخ	Nowshak
خبري غونډه	Rueda de prensa
ايليوشين-۹۶	Ilyushin Il-96
خټگري	Albañilería
بسم الله الرحمن الرحيم	Basmala
دويمه خور	Rabi' al-Thani
کلورامفينيکول	Cloranfenicol
انټر سرويس انټېلېجنس (ISI)	Inter-Services Intelligence
د چېک پوځ	Fuerzas Armadas de la República Checa
اېسټروجن	Estrógeno
HACCP	Análisis de Peligros y Puntos de Control Críticos
مچواژی	Matamoscas
کوف آب ولسوالۍ	Distrito de Kuf Ab
غزل	Gazal
مېگانېورا	Meganeura
عبدالله بن عمر البيضاوي	Al-Baidawi
د ډيورنډ کرښه	Línea Durand
چنگو	Vanellinae
يعقوب	Jacob
لارا دتا	Lara Dutta
الجاحظ	Al-Jahiz
امام شافعي	Muhammad ibn Idris ash-Shafi`i
سيد جمال الدين افغاني	Jamal al-Din al-Afghani
خرېزانتېما توغندی	9M123 Khrizantema
نصرت فتح علي خان	Nusrat Fateh Ali Khan
نور محمد ترکی	Nur Muhammad Taraki
اباکاوير	Abacavir
سادات	Sayyid
د راديوايزوټوپونو ترموبريښنایی جنريټر	Generador termoeléctrico de radioisótopos
آلانين ټرانس امينېز	Alanina aminotransferasa
ختيځي مچۍ	Apis cerana
ختيځه فلسفه	Filosofía oriental
اروپایی زرغون څرموښکۍ	Lacerta viridis
عبدالقادر گيلاني	Abdul Qadri Jilani
عبدالکريم سروش	Abdolkarim Sorush
ميمنه ولسوالۍ	Maymanah
الشباب	Al-Shabbaab
سردار محمد داود خان	Mohammed Daud Khan
ماخۍ	Alhagi
عبدالقدير خان	Abdul Qadir Khan
سلطان قطب الدين ايبک	Qutb-ud-din Aibak
پلازموډيم وايوېکس	Plasmodium vivax
بيټالکټمېز	Betalactamasa
پلازموډيم فالسيپارم	Plasmodium falciparum
امام مالک بن انس	Malik ibn Anas
عمران خان (لوبگر)	Imran Khan (actor)
رودکي	Rudakí
خان عبدالغفار خان	Khan Abdul Ghaffar Khan
غزی	Himantopus
عبدالله عبدالله	Abdullah Abdullah
جرمېن جېکسن	Jermaine Jackson
ابن حزم اندلسي	Ibn Hazm
والېري ولاديميروويچ پولياکوف	Valeri Poliakov
گلبدين حکمتيار	Gulbudin Hekmatiar
احمد شاه قاجار	Ahmad Shah Qayar
ژولرغونپوهنه	Arqueozoología
مېلبورن پوهنتون	Universidad de Melbourne
داسو میراژ اف‌۱	Dassault Mirage F1
دېو انند	Dev Anand
آر پي جي-۷	RPG-7
آغا محمد خان قاجار	Aga Muhammad Khan
د ۲ کا ۱۲ کوب راکټی سیستم	2K12 Kub
کنکه لېږندويه انسېفلايټس	Encefalitis transmitida por garrapatas
د افغانستان جگړه (۲۰۰۱)	Operación Enduring Freedom
اس-۲۰۰	S-200 Angara/Vega/Dubna
قانوني لاسوندونه	Negocio jurídico
ويي جوړښت	Formación de palabras
تايروکسين	Triyodotironina
د سولې نړيواله ورځ	Día Internacional de la Paz
روماتولوجي	Reumatología
ناصر خسرو	Naser Josrow
شپې ليد سترگۍ	Instrumento de visión nocturna
پادشاهی جومات	Badshahi Masjid
عبدالرشيد دوستم	Abdul Rashid Dostum
رنجيت سېنگ	Ranjit Singh
اپورتونېزم	Oportunismo
شمي کپور	Shammi Kapoor
کمال الدين بهزاد	Kamāl ud-Dīn Behzād
بيت الله محسود	Baitullah Mehsud
ابوبکر	Abu Bakr as-Siddiq
ابو مسلم خراساني	Abu Muslim
جيورج ايډېن	George Eden
سلطان علاوالدين غلجی	Alaudín
کاشي	Cerámica vidriada
تفسير	Tafsir
گوگل	Mediastino
راجپوت	Rajput
آیت الله سيستاني	Ali al-Sistani
صليبي غڼه	Araneus diadematus
چورليځ	Axis
محمد علي شاه قاجار	Mohammad Alí Shah Qayar
فرانسېس يسېدرو اېجورت	Francis Edgeworth
آنتونوف-۱۴۰	Antonov An-140
سلمان ابن عبدالعزیز آل سعود	Salmán bin Abdulaziz
پټه لرونکی ژگاگ	Mephitis mephitis
سليووويټز	Slivovitz
اردشیر پاپاکان	Ardacher I
هېماټويوريا	Hematuria
د سوریانو ټولواکمني	Imperio suri
جده	Yeda
د چين نړيواله راډيو	Radio Internacional de China
دليپ کمار	Dilip Kumar
د ايران هوايي ځواک	Fuerza Aérea de la República Islámica de Irán
دهرمندر	Dharmendra
لوييس سلوتين	Louis Slotin
شاهد اپریدی	Shahid Afridi
صبغت الله مجددي	Sibghatullah Mojaddedi
آر کیو - ۱۱ ړاوېن	AeroVironment RQ-11 Raven
ال-۱۵۹ الکا	Aero L-159 Alca
ولاديمير الېکساندروويچ کريوچکوف	Vladímir Kryuchkov
لمن لگښت	Coste marginal
افغان	Etimología de Afganistán
افغان ملي پوځ	Ejército Nacional Afgano
د افغانستان د فوټبال فدراسيون	Federación de Fútbol de Afganistán
کارلوی واری	Karlovy Vary
خاد	Servicio de inteligencia de la República Democrática de Afganistán
خوست	Jost (ciudad)
د هخامنشیانو ټولواکمني	Imperio aqueménida
شکودا سوپرب	Škoda Superb
مهدي حسن	Mehdi Hassan
معیاري ژبه	Lengua estándar
سايکلوفوسفمايډ	Ciclofosfamida
ایندومټاسین	Indometacina
سپېرکۍ	Trachyspermum ammi
ټي اېي ټي بي	Triaminotrinitrobenceno
اېنالاپريل	Enalapril
سپيرونولکټون	Espironolactona
مېبېندازول	Mebendazol
هېموسېدرين	Hemosiderina
اوکټوجن	HMX
اوميپرازول	Omeprazol
بودېسونايد	Budesónida
فېنواکسيمېتيل پېنيسيلين	Fenoximetilpenicilina
کلوکساسيلين	Cloxacilina
ديجوکسين	Digoxina
ډاپسون	Dapsona
ډيلټيازيم	Diltiazem
مېټوټرکسات	Metotrexato
دوكسيسايكلين	Doxiciclina
جنټامايسين	Gentamicina
لوپيناوير	Lopinavir
امټريسيټابين	Emtricitabina
ډيډانوسين	Didanosina
ريټوناوير	Ritonavir
لاميووډين	Lamivudina
ساکويناوير	Saquinavir
رانيتيدين	Ranitidina
نېلفيناوير	Nelfinavir
سټاووډين	Estavudina
وانکومايسين	Vancomicina
سالمېټېرول	Salmeterol
الاقصی جومات	Mezquita de Al-Aqsa
انډيناوير	Indinavir
د افغانستان اسلامي امارت	Emirato Islámico de Afganistán
مسجد الحرام	Masjid al-Haram
ده يک ولسوالۍ	Distrito de Dih Yak
الخالد شوبله	Al-Khalid
منبر	Minbar
اسلامي بانکوالی	Banca islámica
شاه شجاع	Shuja Shah Durrani
سوخوی سو ٣٧	Sukhoi Su-37
رېکها	Rekha
شرميلا تاگور	Sharmila Tagore
اناهيتا راتبزاد	Anahita Ratebzad
حميرا بېگم	Humaira Begum
ريحانه بنت زيد قرظي	Rayhana
شبانه اعظمي	Shabana Azmi
مينا کشور کمال	Meena Keshwar Kamal
ديا مرزا	Dia Mirza
آلماني چابکۍ	Blattella germanica
لخدر ابراهيمي	Lajdar Brahimi
فرېدرېک بارټ	Fredrik Barth
غياث الدين کيخسرو بن کيقباد	Kaikosru II
هنري کوربان	Henry Corbin
مظفر الدين شاه قاجار	Mozaffareddín Shah Qayar
جهان آرا بېگم	Jahanara Begum
د درانيانو ټولواکمني	Imperio durrani
گردېز	Gardez
ملټيپل ميولوما	Mieloma múltiple
بوينگ بي ۴۷ سټراټوجېټ	Boeing B-47 Stratojet
اسکاريس لومبريکويډېس	Ascaris lumbricoides
سونو نېگم	Sonu Niigaam
ابن زهر	Ibn Zuhr
ويليم مونټگمري وات	William Montgomery Watt
لومړۍ خور	Rabi' al-Awwal
لښکرگاه	Lashkar Gah
تالقان	Taloqan
دوشکا (د الوتکو ويشتونکي ماشيندار)	DShK
شريعت	Sharia
اوزبکان	Uzbeko (etnia)
ازمېښتون	Laboratorio
جيروسكوپ	Giróscopo
تاجکيان	Tayikos
سني اسلام	Sunismo
آزربايجاني منات	Manat azerbaiyano
بې پيلوټه الوتکه	Vehículo aéreo no tripulado
محمد اقبال	Muhammad Iqbal
فقه	Fiqh
چنگېز ايتمانوف	Chingiz Aitmátov
مۍ	Vigna radiata
د باميانو بودايي پژۍ	Budas de Bāmiyān
تورکمنان	Turcomanos
نړیوال سازمان	Organismo internacional
د ژبې فلسفه	Filosofía del lenguaje
شانگهای د همکاريو سازمان	Organización de Cooperación de Shanghái
کلبيان	Escuela cínica
د آزادۍ راډيو	Radio Liberty
اورنگزیب عالمگیر	Aurangzeb
راني موکېرجي	Rani Mukerji
مسجد نبوي	Mezquita del Profeta
اسلاموفوبيا	Islamofobia
ازبکستاني سوم	Som uzbeko
صفره	Safar
د سجیل توغندی	Sajjil-2
بولندوی	Teniente coronel
مېټامتريال	Metamaterial
الوتکه (فلم)	Airplane!
ختيځي کيکه	Xenopsylla cheopis
د شاه فیصل جومات	Mezquita Faisal
د اوبو ښاپېرک	Myotis daubentonii
نېفروټېک ساينډروم	Síndrome nefrótico
ادريس شاه	Idries Shah
انځور خبريالي	Periodismo fotográfico
د افغانستان د لارښودانو لړليک	Monarcas de Afganistán
ارغستان ولسوالۍ	Distrito de Arghistan
هډه	Hadda
سنتره	Citrus × tangerina
نخاعي شريان	Arteria vertebral
هريپور (پاکستان)	Haripur
د الماني ژبې گرامر	Gramática del alemán
ISO 22000	ISO 22000
اشاعره	Ashariyyah
ټريپانوسوما	Trypanosoma
څاڅکي	Colirio
سمېع يوسف	Sami Yusuf
محمد شاه قاجار	Muhammad Sah Kayar
ميرويس هوتک	Mirwais Kan Hotak
مقبول فدا حسین	Maqbool Fida Husain
محمد عالم خان	Alim Khan
شاه اشرف هوتک	Ashraf Kan
ډانگ لکۍ	Terpsiphone paradisi
پروټينيوريا	Proteinuria
بوللـه	Casida
رضوي خراسان ولايت	Jorasán Razaví
بفر سټېټ	Estado colchón
کونډه	Mosquetón
تومانچه مادل ٧٥	CZ 75
څارنوال	Fiscal (funcionario)
ټرانس امينېشن	Transaminación
گلومېرولونېفرايټس	Glomerulonefritis
د پاني پت لومړۍ جگړه	Batalla de Panipat (1526)
آنتونوف-۱۴۸	Antonov An-148
ابهيدا	Abhidharma
امير ډنډ	Band-e Amir
امير محمد يعقوب خان	Mohammed Yaqub Khan
ټوپولف ټو-۳۳۴	Túpolev Tu-334
ډئيزم	Deísmo
دگماتېزم	Dogma
گلسر	Serinus pusillus
اوبدرملنه	Hidroterapia
برېښنامېچ	Vatihorímetro
ښځه په اسلام کې	La mujer en el islam
ملي گټې	Razón de Estado
د هوتکيانو ټولواکمني	Dinastía Hotaki
جان گرين	John Green
عبدالحق	Abdul Haq (muyahidín)
د تودوخې د لېږد وړتیا	Coeficiente de película
اسلامي تاريخ	Historia del islam
امام جومات	Mezquita del Shah
کتيتر	Catéter
آريانا افغان هوايي شرکت	Ariana Afghan Airlines
د چېک د جمهوریت هوایي ځواک	Fuerza Aérea del Ejército de la República Checa
سوداگري (فلم)	Trade (película)
معتزله	Mu'tazili
شهاب ۳	Shahab-3
اسحاق	Isaac
بانکي گڼون	Cuenta bancaria
د کوچني اختر مياشت	Shawwal
اسد آباد	Asadabad
ويکيپېډيا:ډ-ځ-پ/ښوونځي	Ayuda:Preguntas frecuentes/Colegios
زو – ۲۳ – ۲	ZSU-23-2
د بون تړون	Acuerdo de Bonn
اېف ۱ لاسي بم	Granada F-1
د اسيايي هېوادونو لړليک	Anexo:División política de Asia
د افغانستان ملي لرغونتون	Museo Nacional de Kabul
اسد الله سروري	Asadulá Sarvari
عينک د تامبې کان	Mes Aynak
درملپېژندنه	Farmacodinámica
ريگويدا	Rig-veda
تارو	Perdiz
سلېمان لايق	Sulaiman Laiq
طيبه لښکر	Lashkar-e-Toiba
سيد محمد حسين طباطبايي	Alamé Tabatabaí
لاله سری	Falco chicquera
چنجری	Francolinus
د غشی زهر آبي چونگښه	Dendrobates azureus
جي اېف ۱۷ تهنډر	Chengdu/PAC JF-17 Thunder
حامد کرزی نړيوال هوايي ډگر	Aeropuerto Internacional de Kabul
وزلوبه	Buzkashi
تپندۍ	Paleta de albañil
معمولي وامبټ	Vombatus ursinus
هېلېنيستي فلسفه	Filosofía helenística
کورکورۍ	Pterocles alchata
تور-ام۱	Tor-M1
امام حسين جومات	Mezquita Imam Husayn
لېیوروس قوینقوېستریاتوس	Leiurus quinquestriatus
پنجوايي ولسوالۍ	Distrito de Panjwai
ملتون	Empresa
ظهير الدين محمد بابر	Babur
ډيلوکسنايډ فورواېټ	Furoato de diloxanida
پاکستان مسلم لیگ ن	Liga Musulmana de Pakistán (N)
ږيره ور خوگ	Sus barbatus
برزخ	Barzaj
درېيځ (مېچپوهنه)	Cubo
آتريال فېبرېلېشن	Fibrilación auricular
هډپوهنه	Osteología
څلورمه خور	Yumada al-Thania
مسلکونه	Ocupación
ارواپالنه	Espiritualismo (movimiento religioso)
ماشيندار مادل ٦١	Skorpion vz. 61
جنت	Yanna
فيزيکي کتنه	Exploración física
يهودي فلسفه	Filosofía judía
اومان	Ephedra
امام علي آرام ځاي	Mezquita del Imán Alí
لويه جرگه	Loya yirga
اسلامي زده کړې	Estudios islámicos
2G	Telefonía móvil 2G
آئیسو 639-3	ISO 639-3
د زړه عضلاتي اعتلال	Miocardiopatía
نيوروفېبروماټوسېز	Neurofibromatosis
درېيمه خور	Yumada al-Wula
ټوپک مادل ٥٨	Vz. 58
کومييز سرطان	Cáncer de laringe
پېرودونکی	Cliente (economía)
عيسوي فلسفه	Filosofía cristiana
تورړۍ	Oenanthe leucura
د سږو بوغمه	Edema pulmonar
وییزېرمه	Glosario
معاصره فلسفه	Filosofía moderna
يوناني درمل	Herbología
د مهدي پوځ	Ejército de al-Mahdi
د اکولا اوبتل	Clase Akula
د بازار جوړښت	Estructura de mercado
سمونتيا	Reforma
دارالامان ماڼۍ	Palacio Darul Aman
توردلی	Saxicola
د رېږدلې انجنيري	Ingeniería sísmica
ماليکولي ننوونی	Tamiz molecular
هېماټوپويسز	Hematopoyesis
ملنگيان	Salvia aegyptiaca
هندو (ورځپاڼه)	The Hindu
اسلامي وييپانگه	Anexo:Glosario del islam
د سيستان او بلوچستان ولايت	Sistán y Baluchistán
ټټر	Tórax (artrópodos)
سني ډيول	Sunny Deol
د افغانستان اسلامي حزب	Hezbi Islami
د علیت برهان	Argumento cosmológico
درواز بالا ولسوالۍ	Distrito de Darwazi Bala
ايراني هڅوب	Cultura de Irán
بژېونوف صومعه	Monasterio de Břevnov
سپين باز	Leucopternis albicollis
محمد اسلم وطنجار	Mohammad Aslam Watanjar
افغانايټ	Afghanita
سلطان علي کشتمند	Sultán Alí Keshtmand
اېکزېما	Eccema
د افغان-انگرېز لومړۍ جگړه	Primera guerra anglo-afgana
مردان	Mardan
لرغونې يوناني فلسفه	Filosofía griega
يشناټکی	Punto de ebullición
د فارس ولايت	Fars
د نړۍ برحاله هېوادمشران	Anexo:Jefes de estado y de gobierno en la actualidad
پارون	Parun
انار دره ولسوالۍ	Anār Darreh
هالي بېري	Halle Berry
غبرگه ښیښه	Unidad de vidrio aislante
1G	Telefonía móvil 1G
د روسيې دولتي کتابتون	Biblioteca del Estado Ruso
ابو الفتح الشهرستاني	Al-Shahrastani
اندخوی ولسوالۍ	Andhvoy
د بوټي ژونکه	Célula vegetal
فېروز خان	Feroz Khan
اږبکه	Progne subis
د بلخ پوهنتون	Universidad de Balj
اسيا پېسفيک	Asia-Pacífico
د لوگر ولايت د بيارغونې ډله	Equipo de Reconstrucción Provincial
لادا اوبتل	Clase Lada
پېښور	Peshawar
آر پي جي – ۲۹	RPG-29
څېړنيزه خبريالي	Periodismo de investigación
جرمنۍ غومبسه	Vespula germanica
زهوب	Exudado
اوندن برونشيت	Bronquitis crónica
حدود	Hadd
د افغانستان ولسمشر	Presidente de Afganistán
د افغانستان د علومو اکاډمي	Academia de Ciencias de Afganistán
اداينه	Pago
د افغانستان حکومت	Política de Afganistán
خروشتي	Karosti
جل وهنه	Golpe de calor
جرگه	Jirga
هندو ليکنې	Textos del hinduismo
اپولینارېزم	Apolinarismo
د بابر توغندی	Babur (misil)
دوتنه	File (desambiguación)
ناپروکسين	Naproxeno
شکوڼ	Puercoespín
ويکيپېډيا:نړيواله غږيزه ابېڅې	Anexo:Tabla del Alfabeto Fonético Internacional para el inglés
نوی اتلانتېس	La Nueva Atlántida
تعبیه شوی چاودیدونکی وسیله	Artefacto explosivo improvisado
د هرات جامع جومات	Mezquita del Viernes de Herat
سولگریز جال	Red de computadoras
د حکومت بڼې	Forma de gobierno
ځنگلي خزدکه	Anoplotrupes stercorosus
افغان پيکا	Ochotona rufescens
پر اسلام نيوکه	Críticas al Islam
اسلامي هڅوب	Cultura musulmana
کابل پوهنتون	Universidad de Kabul
د کاربن ډای اکسایډ ليزر	Láser de dióxido de carbono
د اصفهان ولايت	Provincia de Isfahán
ويکيپېډيا:وييپانگه	Ayuda:Glosario
محمد موسى شفيق	Mohammad Musa Shafiq
وېشنيزه:د امريکا متحده ايالات	Categoría:Estados Unidos
وېشنيزه:روسيه	Categoría:Rusia
وېشنيزه:کاناډا	Categoría:Canadá
وېشنيزه:برطانيه	Categoría:Reino Unido
وېشنيزه:چين	Categoría:China
وېشنيزه:هندوستان	Categoría:India
وېشنيزه:سعودي عربستان	Categoría:Arabia Saudita
وېشنيزه:ايران	Categoría:Irán
پښتونولي	Pashtunwali
لامبوځنه ښیښه	Vidrio flotado
د مقدس جورج کلیسا	Basílica de San Jorge de Praga
فرانک فرانڅ	Frank Franz
وېشنيزه:افغانستان	Categoría:Afganistán
وېشنيزه:الجېريا	Categoría:Argelia
وېشنيزه:عراق	Categoría:Irak
وېشنيزه:نېدرلانډ/هالېنډ	Categoría:Países Bajos
وېشنيزه:نايجېريا	Categoría:Nigeria
وېشنيزه:پاکستان	Categoría:Pakistán
وېشنيزه:د روم امپراطوری	Categoría:Imperio romano
وېشنيزه:مارغان	Categoría:Aves
وېشنيزه:بوټي	Categoría:Plantae
وېشنيزه:ژونپوهنه	Categoría:Biología
وېشنيزه:پېښليک	Categoría:Historia
وېشنيزه:ځمکپوهنه	Categoría:Geografía
وېشنيزه:ټولنه	Categoría:Sociedad
وېشنيزه:مذهب	Categoría:Religión
وېشنيزه:ورزښت	Categoría:Deporte
وېشنيزه:اروپايي اتحاديه	Categoría:Unión Europea
وېشنيزه:ټوليزې رسنۍ	Categoría:Medios de comunicación
وېشنيزه:ژبه	Categoría:Lenguaje
وېشنيزه:ځمکه	Categoría:Tierra
وېشنيزه:تشيال	Categoría:Espacio
لړم (مياشت)	Abán
ټېمېلين اټومي برېښناکوټ	Central nuclear de Temelín
طلوع تلويزيون	Tolo TV
مثنوي	Masnavi (género literario)
رڼايي سپڼسيزې اړيكې	Comunicación por fibra óptica
د بشري حقونو نړېواله اسلامي اعلاميه	Declaración de los Derechos Humanos en el Islam
د الضرار ټانک	Al-Zarrar
خواږه مرچ	Pimiento morrón
د پاکستان هوايي ځواک	Fuerza Aérea de Pakistán
رباب	Rubab
شهاب الدين محمد غوري	Muhammad de Gur
څېړونکی	Investigador
توپک ماډل ۵۲	Vz. 52
له پلوما	La paloma (canción)
پښتونستان	Pastunistán
اورمکۍ	Heterocera
وټیزه ولسواکي	Democracia económica
نړيواله ټولنه	Comunidad internacional
ملهم	Bálsamo
کاربون نانو نل	Nanotubo
محصول	Producto
د افغانستان هوايي ځواک	Fuerza Aérea Afgana
حاد برونشيت	Bronquitis aguda
خبريال	Periodista
سوده بنت زمعه	Sawda bint Zamʿa
کيشکره	Nucifraga
د حسن او حسين مياشت	Muharram
د ملي دفاع پوهنتون	Universidad Nacional de Defensa
د افغانستان وټه	Economía de Afganistán
وېشنيزه:فلسفه	Categoría:Filosofía
وېشنيزه:عيسويت	Categoría:Cristianismo
وېشنيزه:اسلام	Categoría:Islam
وېشنيزه:يهوديت	Categoría:Judaísmo
اخوان الصفا	Hermanos de la Pureza
تاکتيک	Táctica
ملا صدرا	Mulla Sadra
توپک مادل ۲۴	ZB vz. 24
شريا گوشل	Shreya Ghoshal
رهبانيت	Comunidad religiosa
اميرالمومنين	Príncipe de los creyentes
گوربت	Águila
په اسلام کې د خدای تصور	Dios en el islam
د افغانستان ولسي جرگه	Wolesi Jirga
رمله بنت ابي سفيان	Ramla bint Abi Sufyan
اسلام شاه سوري	Islam Shah Suri
ساتنه	Protección
ډیسکوساوریسکوس	Discosauriscus
وړانگه	Ray
بابېړی	Recaída
تگاب ولسوالۍ (بدخشان)	Distrito de Tagab
بکتر شکن	HJ-8
لاهور ولسوالۍ	Lahore (distrito)
پنجاب ولسوالۍ	Panjāb
بوښوتنيکا	Bochotnica
د خښتي پل جومات	Mezquita Pul-e Khishti
قيف غاښ لرونکي ژوي	Yanoconodon
تولید (سوداگري)	Producto (marketing)
د عراق او شام اسلامي دولت	Estado Islámico (organización terrorista)
سنگين	Sangīn
يونس	Jonás (profeta)
ویدانتا	Vedanta
د کيميا فلسفه	Filosofía de la química
د افغانستان بنسټيزه کړنلاره	Constitución de Afganistán
پښتانه	Pastún
لکي مروت	Lakki Marwat
پانډور زره پوښ موټر	Pandur II
ميوند ولسوالۍ	Distrito de Maywand
ارغنجخواه ولسوالۍ	Distrito de Arghanj Khwa
خاش ولسوالۍ	Distrito de Khash
تېشکان ولسوالۍ	Distrito de Tishkan
اشکاشم ولسوالۍ	Distrito de Ishkashim
يمگان ولسوالۍ	Distrito de Yamgan
ارگو ولسوالۍ	Distrito de Argo
درايم ولسوالۍ	Distrito de Darayim
راغ ولسوالۍ	Distrito de Ragh
ياوان ولسوالۍ	Distrito de Yawan
جورم ولسوالۍ	Distrito de Jurm
وردوج ولسوالۍ	Distrito de Wurduj
خواهان ولسوالۍ	Distrito de Khwahan
ژړۍ ولسوالۍ	Distrito de Zhari
يفتال سفله ولسوالۍ	Distrito de Yaftali Sufla
تخنيک	Técnica
سيير بهادرزاده	Siyar Bahadurzada
چامبېلي	Jasminum grandiflorum
پراناف مېستري	Pranav Mistry
نكاح	Matrimonio en el Islam
کشم ولسوالۍ	Distrito de Kishim
فيض آباد ولسوالۍ	Distrito de Fayzabad
سمبالښت	Administración
ننداره	Show
وېشنيزه:هڅوب	Categoría:Cultura
وېشنيزه:لويې وچې	Categoría:Continentes
وېشنيزه:ځمکپېژنده	Categoría:Geología
وېشنيزه:الوتکې	Categoría:Aeronaves
ثريا طرزي	Soraya Tarzi
د افغانستان د دفاع وزارت	Ministerio de Defensa de Afganistán
ژونکپوهنه	Citología
دامان ولسوالۍ	Distrito de Daman
وېليم برايډن	William Brydon
ايشوبی	Caldera (máquina)
غوړگه	Pantorrilla
بټگرام ولسوالۍ	Battagram
هنرونه	Numeración de las artes
تانبه:ځمکپوهنه	Portal:Geografía
جلغوزه	Pinus gerardiana
تانبه:فلسفه	Portal:Filosofía
د کوکا کولا شرکت	The Coca-Cola Company
ميمونه بنت الحارث	Maymuna bint al-Harith
افغان ملت گوند	Partido Socialdemócrata Afgano
انساني کوپړۍ	Cabeza humana
واصل بن عطا	Wasil ibn Ata
رېگ ولسوالۍ (کندهار)	Distrito de Reg
ويکيپېډيا:غونډال ته څنګه ورننوځو	Ayuda:Registro
ذکر	Zekr
جويريه بنت الحارث	Juwayriyya bint al-Harith
کيمياوي وسلې	Arma química
وېشنيزه:د پوهنغونډ روباټان	Categoría:Wikipedia:Bots
کوهستان ولسوالۍ (بدخشان)	Distrito de Kohistan (Afganistán)
د شهدا ولسوالۍ	Distrito de Shuhada
برگمټال ولسوالۍ	Bargi Matal
وېشنيزه:د افغانستان توکمونه	Categoría:Etnias de Afganistán
پريگانگليونېک عصبي ريښې	Fibras nerviosas preganglionares
څلوريځ	Cuplé
ظاهر طنين	Zahir Tanin
تانبه:هنرونه	Portal:Arte
اسلام او ساينس	Islam y ciencia
بهارک ولسوالۍ (بدخشان)	Distrito de Baharak
شېکي ولسوالۍ	Distrito de Shiki (Afganistán)
افغان تلويزيون	Afghan Television
کينډۍ:دوراشې کامه	Plantilla:Cita
