Африк	África
Тони Дуглас	Toney Douglas
Худалдаа	Comercio
Гай Бэрримэн	Guy Berryman
Азийн онгорхой хошуут өрөвтас	Anastomus oscitans
Роберто Фирмино	Roberto Firmino
1969-1970 оны НБА-гийн улирал	Temporada 1969-70 de la NBA
1982 оны жүдогийн дэлхийн аварга шалгаруулах тэмцээн	Campeonato Mundial de Judo de 1982
Юйшү тойрог	Prefectura autónoma tibetana de Yushu
Хэтбуха	Kitbuqa
Олимпийн тэквондогийн тэмцээн	Taekwondo en los Juegos Olímpicos
Дэлхийн Гаалийн Байгууллага	Organización Mundial de Aduanas
Согсоот гоорбис	Pernis ptilorhynchus
Жэй-Жэй Окоча	Augustine Okocha
Ан-30	Antonov An-30
Иррационал тоо	Número irracional
Үндсэн таталт	Peso muerto
Killzone 2	Killzone 2
Оросын Алс Дорнод	Extremo Oriente ruso
Дорелл Райт	Dorell Wright
Японы олон улсын их сургууль	Universidad Internacional de Japón
Бост нуур	Lago Bosten
Грег Монро	Greg Monroe
Никола Миротич	Nikola Mirotić
Брестийн цайзын хамгаалалт	Batalla de la Fortaleza de Brest
1900 оны олимпийн крокетын тэмцээн	Anexo:Croquet en los Juegos Olímpicos de París 1900
Серик Сапиев	Serik Sapiyev
Perfetti Van Melle	Perfetti Van Melle
Роберт Кочарян	Robert Kocharián
Сойз	Brocha (instrumento)
Кюүмарү	Tipo 90 Kyū-maru
Ту-114	Túpolev Tu-114
АНТ-40/СБ/ПС-40/ПС-41	Túpolev SB
ТУ-4	Túpolev Tu-4
ТУ-28/ТУ-128П	Túpolev Tu-28
ТУ-142	Túpolev Tu-142
ТУ-2	Túpolev Tu-2
АНТ-6/ТБ-3	Túpolev TB-3
Каземиро	Carlos Henrique Casemiro
Apache Tapestry	Apache Tapestry
ТУ-334	Túpolev Tu-334
Оскар Гарсиа	Óscar Boniek García
Коэффициенттэй цагираг	Anillo cociente
Баянхар уул	Montañas de Bayan Har
Союз-2	Soyuz 2
Залаат бүргэд	Morphnus guianensis
Тагнын нуруу	Montes Tannu Ola
Лиди	Lidia
Александр Попов	Aleksandr Popov
Чи-Ха танк	Tipo 97 Chi-Ha
Александер Мадлунг	Alexander Madlung
Жру Холидей	Jrue Holiday
Киргизийн хөлбөмбөгийн холбоо	Federación de Fútbol de la República Kirguisa
Дамиан Лиллард	Damian Lillard
Ла-Платын далайн гахай	Pontoporia blainvillei
Агаарын бөмбөлгөөр 5 долоо хоног аялсан нь	Cinco semanas en globo
Зүрхэн судар	Sutra del Corazón
Харсүүлт цахлай	Larus crassirostris
Сэйгийн хууль	Ley de Say
Умардын далайн заан	Mirounga angustirostris
Хавч идэгч далайн хав	Lobodon carcinophagus
Өмнө Хуанхэ	Hwanghae del Sur
Шинэ Зеландын кака	Nestor meridionalis
Viva la Vida	Viva la vida (canción)
Гелла Вандекавей	Gella Vandecaveye
Туркийн нарс	Pinus brutia
Убонрачатхани аймаг	Provincia de Ubon Ratchathani
Леонид Кучма	Leonid Kuchma
ИЛ-40	Ilyushin Il-40
Жеймс Форрест	James Forrest
Ногайн Орд	Horda de Nogái
1979-1980 оны НБА-гийн улирал	Temporada 1979-80 de la NBA
Гинналийн агч мод	Acer tataricum subsp. ginnala
Зүүнгарын хаалга	Puerta de Zungaria
Патрик Окс	Patrick Ochs
Хийцийн инженерийн байгууламж	Ingeniería estructural
Союз Т-9	Soyuz T-9
Загийн боршувуу	Passer ammodendri
Риверслэй	Riversleigh
Gears of War	Gears of War
Бомбейн Хөрөнгийн Бирж	Bolsa de Valores de Bombay
Хэрлэн гол	Río Kerulen
Омь	Río Om
И-16	Polikarpov I-16
Хырдалан	Xirdalan
Бейлеган хот	Beyləqan
Штефан Айгнер	Stefan Aigner
Чойр	Choyr
Туул гол	Río Tuul
Австралийн халуун орны ойн зүүн нөөц газар	Bosques húmedos Gondwana de Australia
Сан-Томе ба Принсипийн хөлбөмбөгийн үндэсний шигшээ баг	Selección de fútbol de Santo Tomé y Príncipe
Волга Нижний Новгород	Fútbol Club Volga Nizhni Nóvgorod
Хималайн хажир	Gyps himalayensis
Багдадын батарей	Batería de Bagdad
Софийн Славия	PFC Slavia Sofia
Талас хот	Talas (Kirguistán)
Харш хот	Qarshi
Мотиваци	Motivación
Агаарын спорт	Deportes aeronáuticos
Тарвагатай тойрог	Tacheng
Хятад хороолол (1974 оны кино)	Chinatown (película)
ЗТЗ-99	Tipo 99
Аргентины волейболын эрэгтэйчүүдийн үндэсний шигшээ баг	Selección masculina de voleibol de Argentina
Квантуны Арми	Ejército de Kwantung
Эх оронч (кино)	El patriota
Хөхлөрийн хөмрөг	Emberiza buchanani
Мадагаскар нөмрөг бүргэд	Haliaeetus vociferoides
Хуанми	Juanmi Jiménez
Resistance: Burning Skies	Resistance: Burning Skies
Костас Манолас	Kostas Manolas
Кино (хамтлаг)	Kinó
Большевик арал	Isla Bolchevique
Тамын хүү II: Алтан арми	Hellboy 2: el ejército dorado
Осакагийн их сургууль	Universidad de Osaka
Дорадус	Dourados
Энэтхэг-Пакистаны нэгдүгээр дайн	Guerra indo-pakistaní de 1947
Контент-анализ	Análisis de contenidos
Арикленес Феррейра да Силва	Ariclenes da Silva Ferreira
Филиппин нугас	Anas luzonica
Шар хошуут өрөвтас	Mycteria ibis
Тельма Луиз хоёр	Thelma y Louise
Хармай хот	Karamay
УАЗ	Ulyanovsky Avtomobilny Zavod (UAZ)
Деко	Deco
Никола Вучевич	Nikola Vučević
Силос	Ensilado
Тауфик Хидаят	Taufik Hidayat
Лексус RX	Lexus RX
Guetta Blaster	Guetta Blaster
Силвио Мартинелло	Silvio Martinello
Бешбармак	Beshbarmak
Олимпийн гимнастикийн тэмцээн	Gimnasia en los Juegos Olímpicos
Маради	Maradi
Рикардо Родригес	Ricardo Rodríguez (futbolista)
Дариус Моррис	Darius Morris
Янн Зоммер	Yann Sommer
Жей Ар Смит	J.R. Smith
Жеймс Жонсон (сагсан бөмбөгчин)	James Johnson
Галуут нуур	Lago Gusínoye
Чобам хуяг	Blindaje Chobham
Дрю Бэрримор	Drew Barrymore
Мачу Пикчу	Machu Picchu
Италийн хөлбөмбөгийн үндэсний шигшээ баг	Selección de fútbol de Italia
Шилүүс	Lynx (animal)
Баянзаг	Acantilados Llameantes
Токиогийн олимпод улс орнуудын авсан медалийн тоо	Anexo:Medallero de los Juegos Olímpicos de Tokio 1964
Пурнулулу үндэсний хүрээлэн	Parque nacional Purnululu
Mylo Xyloto	Mylo Xyloto
Гелат хийд	Monasterio de Gelati
Симон Шемпп	Simon Schempp
Тагнуул (кино)	Tinker Tailor Soldier Spy (película)
Наньжингийн их сургууль	Universidad de Nankín
Үл хөдлөх хөрөнгө	Inmueble
Абдельазиз Баррада	Abdelaziz Barrada
Ойрд	Oirates
2001 оны жүдогийн дэлхийн аварга шалгаруулах тэмцээн	Campeonato Mundial de Judo de 2001
Техникийн Их сургууль Фрайбергийн Уул Уурхайн Академи	Universidad de Freiberg
Бруно Риси	Bruno Risi
Пулково нисэх онгоцны буудал	Aeropuerto Internacional Púlkovo
Манас	Manas (épica)
Микатагахарагийн тулалдаан	Batalla de Mikatagahara
Хулиан Сперони	Julián Speroni
Ардчилсан орнуудын хамтын нийгэмлэг	Comunidad de Democracias
Хөөмий	Canto difónico
Шкодран Мустафи	Shkodran Mustafi
Карл Марксын одон	Orden de Karl Marx
Флориан Кляйн	Florian Klein
Ярра гол	Río Yarra
Хавайн далайн хав	Neomonachus schauinslandi
Атлас баавгай	Ursus arctos crowtheri
Боргио	Rápido
Хатан хааны үзэсгэлэнгийн барилга	Palacio Real de Exposiciones
Хазар Ланкаран	FK Khazar Lankaran
Ингэдэй	Río Ingoda
И-15	Polikarpov I-15
Версаче	Versace
Давид Мендес да Силва	David Mendes da Silva
Өмнөд Сахалины арал	Prefectura de Karafuto
Зөөврийн тоглуулагч	Reproductor de audio digital
Хасан нуурын мөргөлдөөн	Batalla del Lago Jasán
Мэнзян	Mengjiang
Ким Ынь-гүк	Kim Un-Guk
Аррон Аффлало	Arron Afflalo
Накажима Ки-27	Nakajima Ki-27
Петер Зайзенбахер	Peter Seisenbacher
Карим Беллараби	Karim Bellarabi
Гильермо Перес	Guillermo Pérez Sandoval
Дэлхийн Уйгуруудын Хуралдай	Congreso Mundial Uigur
Ник Янг	Nick Young
Мохигийн тулалдаан	Batalla de Mohi
Ом Юнь-чол	Om Yun-Chol
Аллан Макгрегор	Allan McGregor
Марко Русс	Marco Russ
C гепатитын вирус	Virus de la hepatitis C
Alors on danse	Alors on danse
Артурын Шинэ жил	Arthur Christmas
Де-факто	De facto
Улс орнууд хүн амын тоогоор	Anexo:Países por población
Крис Мартин	Chris Martin
Санта Изабель арал	Isla de Santa Isabel
Түмэн хот	Ciudad de Tumen
Федерико Фернандес	Federico Fernández
Уилфрид Заха	Wilfried Zaha
Душан Тадич	Dušan Tadić
Уилсон Чендлер	Wilson Chandler
Торган Азар	Thorgan Hazard
Зөв олон өнцөгт	Polígono regular
Тейде үндэсний цэцэрлэгт хүрээлэн	Parque nacional del Teide
Альберт Демченко	Albert Demchenko
Энес Кантер	Enes Kanter
Гурван их гүрний удирдагч	Anexo:Líderes de los Aliados de la Segunda Guerra Mundial
Үүрсээ харцага	Accipiter badius
Донатас Мотеюнас	Donatas Motiejūnas
Дэмчигдонров	Demchugdongrub
Сирым	Ssirum
Комацүбара Мичитаро	Michitarō Komatsubara
Буйр нуур	Lago Buir
Халх гол	Río Jalja
Кими ни Тодокэ	Kimi ni Todoke
Муурын нүд	Cat's Eye (manga)
Чолла	Jeolla
Тольт хартотол	Acridotheres cristatellus
Жэмо арал	Jemo
Донис Эскобер	Donis Escober
Иман Шамперт	Iman Shumpert
Реми Кабелла	Rémy Cabella
Ди Жей Огастин	D.J. Augustin
Чэнь Шишинь	Chen Shih-Hsin
Боян Богданович	Bojan Bogdanović
Эйвери Брэдли	Avery Bradley
Арвайхээр	Arvaikheer
Крис Андерсен	Chris Andersen
Дэвид Уэст	David West
Панайотис Тахцидис	Panagiotis Tachtsidis
Шинэ Гвинейн бүргэд	Harpyopsis novaeguineae
ЕХБХ-ны Аваргуудын Чуулганы 2012 оны шигшээ тоглолт	Final de la Liga de Campeones de la UEFA 2011-2012
2010-11 оны УЕФА Аваргуудын Лиг шигшээ тоглолт	Final de la Liga de Campeones de la UEFA 2010-2011
Вьентьян аймаг	Provincia de Vientián
Мартелл Уэбстер	Martell Webster
Ибраима Траоре	Ibrahima Traoré
Үндэсний их баяр наадам	Naadam
Асхат Житкеев	Askhat Zhitkeyev
Жеральд Грин	Gerald Green
Асим Триведи	Aseem Trivedi
Давид Кобеньо	David Cobeño
Катунь	Río Katún
Жоффрей Кондогбья	Geoffrey Kondogbia
Луис Фернандо Суарес	Luis Fernando Suárez
Rich Internet Application	Rich Internet application
Давид Дуйе	David Douillet
Мөнгөлөг хэлтэг	Carassius gibelio
2010-11 оны Францын хөлбөмбөгийн лиг	Ligue 1 2010/11
Орос улсын хөлбөмбөгийн шигшээ баг	Selección de fútbol de Rusia
Зовлон	Duḥkha
Майкл Уманья	Michael Umaña
Microkernel	Micronúcleo
Бөртөт шийхнүүхэй	Anthus hodgsoni
Математикийн мянганы шагналт бодлогууд	Problemas del milenio
Найман	Naimano
Япон улс Олимпод	Japón en los Juegos Olímpicos
Орос улс Олимпод	Rusia en los Juegos Olímpicos
Gears of War 2	Gears of War 2
Буле	Boulé
1990 оны Азийн наадам	Juegos Asiáticos de 1990
Як-27	Yakovlev Yak-27
Минусын хотгор	Minusinsk (depresión)
Александр Эссвайн	Alexander Esswein
Ховд (хот)	Hovd (ciudad)
Сүүн өнгөт өрөвтас	Mycteria cinerea
Тэнгисийн цэргийн хүчин	Fuerza Marítima de Autodefensa de Japón
Мэттью Лоутон	Matthew Lowton
Дуг Макдермотт	Doug McDermott
Нийтлэл	Publicación (hacer público)
Киётакэ Хироши	Hiroshi Kiyotake
Ши Пэйпү	Shi Pei Pu
Олон улсын сурагчдын байгалийн шинжлэх ухааны олимпиад	Olimpiada Juvenil Internacional de Ciencia
2011 оны жүдогийн дэлхийн аварга шалгаруулах тэмцээн	Campeonato Mundial de Judo de 2011
Шинаногава	Río Shinano
Туркийн сагсан бөмбөгийн үндэсний шигшээ баг	Selección de baloncesto de Turquía
Уолт Беллами	Walt Bellamy
Стив Бауэр	Steve Bauer
Кото-Оошү Кацүнори	Kotoōshū Katsunori
Мигель Кабрера	Miguel Cabrera (beisbolista)
Эдди Жонс	Eddie Jones
Ён Люнггрен	John Ljunggren
Даваанямын Бямбадорж	Harumafuji Kōhei
Норман Рид	Norman Read
Тодд Рожерс	Todd Rogers
Намик Абдуллаев	Namiq Abdullayev
Хесус Мариа Лакрус	Mari Lacruz
Марк Ледук	Mark Leduc
Бисмак Бийомбо	Bismack Biyombo
Хадны боршуу	Petronia petronia
Гэри Нил	Gary Neal
Рой Хибберт	Roy Hibbert
2008 оны уран гулгалтын дэлхийн аварга шалгаруулах тэмцээн	Campeonato Mundial de Patinaje Artístico sobre Hielo de 2008
Кашгар тойрог	Prefectura de Kasgar
Калат ал-Бахрейн	Qal'at al-Bahrain
Хазор	Jasor
НҮБ-ын Хүүхдийн Сан	Unicef
Карагандын Шахтёр	FC Shakhter Karagandá
Ухаа шумбуур	Aythya baeri
Бөөр шилжүүлэн суулгах	Trasplante de riñón
Өөрийгөө жолооддог машин	Vehículo autónomo
Мавретан хөлөг онгоц	RMS Mauretania
2009 оны бөхийн төрлүүдийн дэлхийн аварга шалгаруулах тэмцээн	Campeonato Mundial de Lucha de 2009
Мулан	Hua Mulan
Форвард гэрээ	Contrato forward
Network attached storage	Network-attached storage
Крис Коммонс	Kris Commons
Бухарын эмирт улс	Emirato de Bujará
Миний зүүн хөл (кино)	Mi pie izquierdo
Дуслын усалгаа	Riego por goteo
Чонон бороо	Wolf's Rain
Бүжимч чогчиго	Oenanthe isabellina
Анкетын асуулга	Cuestionario
Хүзүүвчит ягаандай	Rhodostethia rosea
Африк хар бүргэд	Aquila verreauxii
Halo Wars	Halo Wars
Хангайн нуруу	Montañas Jangai
1980-81 оны УЕФА-гийн цом	Copa de la UEFA 1980-81
Hibernate (Java)	Hibernate
Вилландра нуурын бүс	Región de los Lagos Willandra
Луангпхабанг аймаг	Provincia de Luang Prabang
Батдамбан	Battambang (ciudad)
Олимпийн усанд сэлэлтийн тэмцээн	Natación en los Juegos Olímpicos
Олимпийн триатлоны тэмцээн	Triatlón en los Juegos Olímpicos
Энэтхэг-Хятадын нэгдүгээр дайн	Guerra de Indochina
Марокко улс Олимпод	Marruecos en los Juegos Olímpicos
Малайз улс Олимпод	Malasia en los Juegos Olímpicos
Тажикийн хот суурин	Anexo:Ciudades de Tayikistán
Дуншян ястан	Dongxiang
Олимпийн тэшүүрийн тэмцээн	Patinaje de velocidad en los Juegos Olímpicos
Жирхэн дуучшувуу	Phylloscopus proregulus
Тольт дунхай	Lanius isabellinus
Зүрчид	Yurchen
Алдарт Дөрвөн Зохиол	Las cuatro novelas clásicas chinas
2000 оны олимпийн барилдаан	Anexo:Lucha en los Juegos Olímpicos de Sídney 2000
2004 оны олимпийн бөх	Anexo:Lucha en los Juegos Olímpicos de Atenas 2004
Ауаса	Awasa
Шугаман биш оптик	No linealidad óptica
Як-28	Yakovlev Yak-28
Хятадын хөлбөмбөгийн эмэгтэйчүүдийн үндэсний шигшээ баг	Selección femenina de fútbol de China
Мавритий улс Олимпод	Mauricio en los Juegos Olímpicos
Just a Little More Love	Just a Little More Love
ИЛ-4	Ilyushin Il-4
Нигери улс Олимпод	Nigeria en los Juegos Olímpicos
Македон улс Олимпод	República de Macedonia en los Juegos Olímpicos
1996-97 оны УЕФА-гийн цом	Copa de la UEFA 1996-97
1992 оны олимпийн бөх	Anexo:Lucha en los Juegos Olímpicos de Barcelona 1992
1984-85 оны УЕФА-гийн цом	Copa de la UEFA 1984-85
Цагаан зээр	Procapra gutturosa
Канарын арлын нарс	Pinus canariensis
Роботууд	Robots (película)
Монгол Улсын Ерөнхийлөгч	Anexo:Presidente de Mongolia
Крым	República Autónoma de Crimea
Антигуа ба Барбуда улс Олимпод	Antigua y Barbuda en los Juegos Olímpicos
Панам улс Олимпод	Panamá en los Juegos Olímpicos
Канад улс Олимпод	Canadá en los Juegos Olímpicos
Узбекистан улс Олимпод	Uzbekistán en los Juegos Olímpicos
Испани улс Олимпод	España en los Juegos Olímpicos
Румын улс Олимпод	Rumania en los Juegos Olímpicos
Семиплатинскийн цөмийн туршилтын талбай	Sitio de pruebas de Semipalátinsk
Санаин хийд	Sanahin
Уулын арвас хошуут	Andigena laminirostris
Хакан Чалханоглу	Hakan Çalhanoğlu
Австрали тоодог	Ardeotis australis
Леонид Брежнев	Leonid Brézhnev
Заламбдалестес	Zalambdalestes
Агаарын тээвэр	Aviación
Лерой Сэмс	LeRoy Samse
Люси Пиндер	Lucy Pinder
Лут цөл	Desierto de Lut
Ясин Брахими	Yacine Brahimi
Гаяа хиймэл дагуул	Gaia (sonda espacial)
Монголын түүх	Historia de Mongolia
Бражелон бэйл: Арван жилийн дараа	El vizconde de Bragelonne
Томас Робинсон (сагсан бөмбөгчин)	Thomas Robinson
Өмнө Ази	Asia del Sur
2006 оны сагсан бөмбөгийн эмэгтэйчүүдийн дэлхийн аварга шалгаруулах тэмцээн	Campeonato Mundial de Baloncesto Femenino de 2006
Нэнси Ажрам	Nancy Ajram
Америкийн хөвөн сүүлт	Sylvilagus floridanus
Ди Браун	Dee Brown (baloncestista 1968)
Алтан титэмт сарьсан багваахай	Acerodon jubatus
Алтай тойрог	Altay
Клейпеда	Klaipėda
Подунай аймаг	Distrito de Podunavlje
Гүйцээлтийн файл	Ejecutable
Марзан Шарав	Marzan Sharav
Орхигдсон ертөнц	Land of the Lost
Остин Риверс	Austin Rivers
Сансрын нисэгчийн эхнэр	The Astronaut's Wife
Оливье Дешахт	Olivier Deschacht
Хонкон хотын их сургууль	Universidad de la ciudad de Hong Kong
Залаат тогоруу	Balearica (animal)
Дагуурын намнаахай	Muscicapa latirostris
Байонетта	Bayonetta
Авдат	Avdat
Бергманы баавгай	Ursus arctos piscator
Алессио Романьоли	Alessio Romagnoli
Сьерра-Леоны иргэний дайн	Guerra civil de Sierra Leona
1946-1947 оны БАА-гийн улирал	Temporada 1946-47 de la BAA
1947-1948 оны НБА-гийн улирал	Temporada 1947-48 de la BAA
Насер Шадли	Nacer Chadli
Лерой Фер	Leroy Fer
Улаан диваажингийн шувуу	Paradisaea rubra
Алаг дунхай	Lanius schach
BMW i3	BMW i3
Санах ойн сегментчлэл	Segmentación de memoria
Рэй (кино)	Ray (película)
Крускалын алгоритм	Algoritmo de Kruskal
Инжаннаш	Vanchinbalyn Inyinash
Багератын лалын сүм хот	Ciudad-mezquita de Bagerhat
Улаанбаатар өртөө	Estación de ferrocarril de Ulán Bator
Баянхонгор (хот)	Bayanhongor (ciudad)
Бухан дунхай	Lanius bucephalus
Благоевград аймаг	Provincia de Blagoevgrad
Бэллимена	Ballymena
Балагч	Balikci
Цангинаа дуучшувуу	Phylloscopus schwarzi
Баруун-Урт	Baruun-Urt
2014 оны сагсан бөмбөгийн ДАШТ	Copa del Mundo de Baloncesto FIBA 2014
Батолит	Batolito
Баукау	Baucau
Нөөц	Clasificación de los recursos minerales
Баянгол - монгол өөртөө засах тойрог	Prefectura autónoma mongol de Bayingolin
Шинто	Sintoísmo
Bee Train	Bee Train
SaaS	Software como servicio
Варкрафт	Warcraft
Тооцон бодох шингэний динамик	Mecánica de fluidos computacional
Бууань ястан	Bonan
Эгэл тосондой	Suillus luteus
Товшлуур хөлт 2	Happy Feet Two
Азийн өвлийн наадам	Juegos Asiáticos de Invierno
Жон Энтони Брүүкс	John Anthony Brooks
Жонни Баклэнд	Jon Buckland
Вилл Чэмпион	Will Champion
Йонас Хофманн	Jonas Hofmann
Даланзадгад	Dalanzadgad
Улаангом	Ulaangom
Изү хойг	Península de Izu
Замбийн ерөнхийлөгч	Anexo:Presidentes de Zambia
Дөрвөлжин бичиг	Alfabeto de 'Phags-pa
Ум эр-Расас	Um er-Rasas
Километр	Kilómetro
Саншайн-Кост	Sunshine Coast
Хойлог	Tetraogallus
Карлтон цэцэрлэг	Jardines Carlton
Спиритуализм	Espiritualismo (movimiento religioso)
Ева	Eva
Тасеева	Río Taséyeva
Агаарын цэргийн хүчин	Fuerza Aérea de Autodefensa de Japón
Nokia N9	Nokia N9
Уйгур улс	Kanato uigur
Оросын холбооны 9 хязгаар	Krais de Rusia
Болив улс Олимпод	Bolivia en los Juegos Olímpicos
Чингис хаан (дуу)	Dschinghis Khan (canción)
Гомдол	Querella
Охай	Ojai
Хорол хот	Korla
Тэнгэр шүтлэг	Tengrianismo
Россын далайн хав	Ommatophoca rossii
1989 оны Копа Америка	Copa América 1989
1992–93 оны Премьер лиг	Premier League 1992/93
Як-15	Yakovlev Yak-15
2010 оны волейболын эрэгтэйчүүдийн дэлхийн аварга шалгаруулах тэмцээн	Campeonato Mundial de Voleibol Masculino de 2010
Хоккайдо чоно	Canis lupus hattai
Чингис хаан олон улсын нисэх буудал	Aeropuerto Internacional Gengis Kan
Спектр-Р	RadioAstron
Сибирийн шийхнүүхэй	Anthus gustavi
Импульс	Impulso
Сирийн хүрэн баавгай	Ursus arctos syriacus
Зэрлэгшир нугас	Anas poecilorhyncha
Улс түмний найрамдлын их сургууль	Universidad Rusa de la Amistad de los Pueblos
Японы далайн арслан	Zalophus japonicus
Зүүн Туркестан	Turquestán Oriental
2013 оны хөнгөн атлетикийн дэлхийн аварга шалгаруулах тэмцээн	Campeonato Mundial de Atletismo de 2013
Зүрхний шивнээ	Susurros del corazón (película)
Халх	Mongoles Khalkha
Сангиран	Sitio de los primeros hombres de Sangiran
Фронт (дайн)	Frente (término militar)
Красс	Crass
Гэсэр	El rey Gesar
Гэгээн Таддеусын хийд	Monasterio de San Tadeo
Барде хот	Bərdə
Азийн хөөндэй	Zoothera
Науманы хөөндэй	Turdus naumanni
Арабын Нэгдсэн Эмирт Улсын эмиратууд	Organización territorial de los Emiratos Árabes Unidos
Ворскла	Río Vorskla
Азийн Олимпийн Зөвлөл	Consejo Olímpico de Asia
Хийд	Vihara
Сонгуулийн аян	Campaña política
Хорт могой	Serpiente venenosa
Арилжааны банк	Banco comercial
Түркистан хот	Turkestan
Харгана	Caragana
Шанхайн үд дунд	Shanghai Noon
Цахилгаан соронзон харилцан үйлчлэл	Interacción electromagnética
Бруны тогтмол	Constante de Brun
Хималайн бөднө	Ophrysia superciliosa
Як-25	Yakovlev Yak-25
Як-23	Yakovlev Yak-23
Pop Life (Дэвид Геттагийн цомог)	Pop Life
Вивианигийн теорем	Teorema de Viviani
1904 оны олимпийн роукийн тэмцээн	Anexo:Roque en los Juegos Olímpicos de San Luis 1904
Шилийн сар	Buteo hemilasius
Монгор ястан	Tu (etnia)
Сибирийн нарс	Abies sibirica
VietJet Air	VietJet Air
Гуадалупе арал	Isla Guadalupe
Ашигт малтмалын геологи	Geología económica
Хэммингийн код	Código Hamming
Токмок	Tokmak
Вьетнам Улсын Зэвсэгт хүчин	Fuerzas Armadas de la República Democrática de Vietnam
Sunrise	Sunrise
Дали	Ciudad de Dali
Machinarium	Machinarium
Бейдоу байршил тогтоох систем	Beidou
Соёмбо тэмдэг	Soyombo
Голмуд	Golmud
Гемангиом	Hemangioma
Кызылсу - киргиз өөртөө засах тойрог	Prefectura autónoma kirguís de Kizilsu
Вэстэрн Юнион	Western Union
Сяньби	Xianbei
Олон улсын химийн олимпиад	Olimpiada Internacional de Química
Браничев аймаг	Distrito de Braničevo
Маттиа Перин	Mattia Perin
Хар Кидан	Kanato de Kara-Kitai
Дэнлүү	Farol (iluminación)
Кострома гол	Río Kostromá
Улс орнууд хүн амын төрөлтөөр	Anexo:Países por tasa de natalidad
Биочип	Biochip
Бидэрт сархиаг	Lactarius torminosus
Хулж хот	Gulja
Жалайрын улс	Dinastía Yalayerí
Ноон	Río Nen
Клэр Дэйнс	Claire Danes
Эйлерийн арга	Método de Euler
2018 оны өсвөрийн зуны олимп	Juegos Olímpicos de la Juventud de Buenos Aires 2018
Бортал тойрог	Prefectura autónoma mongol de Bortala
Дэлхийн улсуудын цэргийн зардлын жагсаалт	Anexo:Países por gastos militares
Барилгын машин тоног төхөөрөмж	Maquinaria de construcción
Хайши тойрог	Prefectura autónoma mongol y tibetana de Haixi
Интерактив телевиз	Televisión interactiva
Ёочин	Yangqin
Аполлоны теорем	Teorema de Apolonio
Компьютерын Криминалистик	Cómputo forense
Бямбын Ринчен	Byambyn Rinchen
Эрхүү гол	Río Irkut
Монгол улс Лиллехаммерын олимпод	Mongolia en los Juegos Olímpicos de Lillehammer 1994
Керамзит	Arlita
Queen's Blade (анимэ)	Queen's Blade
Пунсалмаагийн Очирбат	Punsalmaagiin Ochirbat
Халхын сүмийн мөргөлдөөн	Incidente de Halhamiao
Манжуур (хот)	Manzhouli
Санах ойгоор чиглүүлэгдсэн оролт гаралт	E/S mapeada en memoria
2013 оны сонирхогчдын боксын дэлхийн аварга шалгаруулах тэмцээн	Anexo:Campeonato Mundial de Boxeo Aficionado de 2013
Брэд Догерти	Brad Daugherty
Брэдли Бил	Bradley Beal
Бразилын волейболын эрэгтэйчүүдийн үндэсний шигшээ баг	Selección masculina de voleibol de Brasil
Алаг хулд	Circus melanoleucos
Радио спектр	Bandas de frecuencia
2012 оны Зуны Олимпийн наадмын Байт харвааны төрөл – Эрэгтэйчүүдийн ганцаарчилсан ангилал	Anexo:Tiro con arco en los Juegos Olímpicos de Londres 2012 – Individual masculino
Монгол Улсын Ерөнхий Сайд	Primer ministro de Mongolia
Цацраган аянга	Espectro rojo
Диего Тарделли	Diego Tardelli
Брисбэн гол	Río Brisbane
Ломбо	Empaste
Добрич аймаг	Provincia de Dobrich
Брендан Хэйвүүд	Brendan Haywood
Ар Монгол	Mongolia Exterior
Дулаан цацралын Кирхгофын хууль	Ley de Kirchhoff de la radiación térmica
Ринбүчи	Rinpoche
Тусламж:Агуулга	Ayuda:Contenidos
Шуманы резонанс	Resonancia Schumann
Шулмын анчин Робин	Witch Hunter Robin
2010-11 оны УЕФА Аваргуудын Лиг хасагдах шатны тоглолт	Anexo:Semifinales de la Liga de Campeones de la UEFA 2010-2011
Скандал	Scandal (banda japonesa)
Патрик Беверли	Patrick Beverley
Жаред Саллинжер	Jared Sullinger
Дэйв Дебуше	Dave DeBusschere
Кристиан Атсу	Christian Atsu
Гордон Хэйуорд	Gordon Hayward
Майк Конли	Mike Conley, Jr.
Их нууруудын хотгор	Depresión de los Grandes Lagos
Карло Костли	Carlo Costly
Панайотис Коне	Panagiotis Kone
Халуза	Haluza
Федерико Пелузо	Federico Peluso
1997-1998 оны НБА-гийн улирал	Temporada 1997-98 de la NBA
Эрик Мэйнор	Eric Maynor
Австрали тогоруу	Grus rubicunda
Майкл Кидд-Гилкрист	Michael Kidd-Gilchrist
Кави Леонард	Kawhi Leonard
Мянган цаасан тогоруу	Senbazuru
Темеш Юдит	Judit Temes
Деррик Уильямс	Derrick Williams
Уэсли Жонсон	Wesley Johnson
Кеннет Фарид	Kenneth Faried
Пику	Montaña del Pico
Гилян муж	Guilán
Одион Игхало	Odion Jude Ighalo
1970-1971 оны НБА-гийн улирал	Temporada 1970-71 de la NBA
Спенсер Хоус	Spencer Hawes
Дриулис Гонсалес	Driulis González Morales
Metal Gear Rising: Revengeance	Metal Gear Rising: Revengeance
1990 оны волейболын эрэгтэйчүүдийн дэлхийн аварга шалгаруулах тэмцээн	Campeonato Mundial de Voleibol Masculino de 1990
Listen Up! The Official 2010 FIFA World Cup Album	Listen Up! – El álbum oficial de la Copa Mundial de la FIFA 2010
