ఆఫ్రికా	África
ఖాన్ అబ్దుల్ గఫార్ ఖాన్	Khan Abdul Ghaffar Khan
గురు గోవింద సింగ్	Gurú Gobind Singh
తులసీదాసు	Tulsidas
ఫాహియాన్	Fa Xian
చిరంజీవి	Chiranjeevi
ఎం.ఎన్.రాయ్	Manabendra Nath Roy
రజతాక్షి	Zosterops lateralis
వీడియో కెమెరా	Cámara de vídeo
ఇన్స్టంట్ కెమెరా	Cámara instantánea
సూదిబెజ్జం కెమెరా	Cámara estenopeica
అనిల్ కపూర్	Anil Kapoor
జగదీశ్ చంద్ర బోస్	Jagdish Chandra Bose
విశ్వనాధ్ ప్రతాప్ సింగ్	Vishwanath Pratap Singh
బిందుసారుడు	Bindusara
సర్ జేమ్స్ జీన్స్	James Hopwood Jeans
శాంతా క్లాజ్	Papá Noel
మానసిక ఆరోగ్యం	Salud mental
గుల్జారీలాల్ నందా	Gulzarilal Nanda
ఫకృద్దీన్ అలీ అహ్మద్	Fakhruddin Alí Ahmed
రావి నది	Río Ravi
పీటర్ నార్త్	Peter North
శీఘ్రస్ఖలనం	Eyaculación precoz
మార్టిన్ కూపర్	Martin Cooper
షాహిద్ కపూర్	Shahid Kapoor
రైన్బో లోరికీట్	Trichoglossus haematodus
అధో జిహ్వ నాడి	Nervio hipogloso
ట్రోక్లియర్ నాడి	Nervio troclear
బియాస్ నది	Río Beas
చత్వారము	Presbicia
ప్రయాణీకుడు	Pasajero
చిరునామా	Dirección postal
బెంగుళూరు వంకాయ	Sechium edule
ఔషధశాస్త్రం	Farmacognosia
పొదుపు	Ahorro
కూటకము	Martillo (hueso)
కోడిపందెం	Pelea de gallos
పెట్టుబడి బ్యాంకింగ్	Banca de inversión
రిథమ్‌బాక్స్	Rhythmbox
జమ్సేట్జి టాటా	Jamsetji Tata
దేవానంద్	Dev Anand
జామ	Psidium
అభిజిత్ గుప్తా	Abhijeet Gupta
కుంకుడు	Sapindus
ఉడల్గురి	Distrito de Udalguri
భారతరత్న	Bharat Ratna
నెయ్యి	Ghee
కస్తూరి	Almizcle
భారతీయ సంస్కృతి	Cultura de la India
సారనాథ్	Sarnath
వృషణాల క్యాన్సర్	Cáncer de testículo
సరస్వతీ ఆకు	Centella asiatica
రాకేశ్ శర్మ	Rakesh Sharma
హెపటైటిస్ E	Hepatitis E
మావెన్	MAVEN
వ్యవస్థ నిర్వాహకుడు	Administrador de sistemas
ది ఈవిల్ డెడ్	The Evil Dead
కరపత్రం	Volante propagandístico
ఎ టేల్ ఆఫ్ టు సిస్టర్స్ (2008 సినిమా)	The Uninvited
వెబ్‌‌మెయిల్‌	Webmail
దివ్యజ్ఞాన సమాజము	Sociedad Teosófica
అంతర్జాతీయ శాంతి దినోత్సవం	Día Internacional de la Paz
శాంటాలేసి	Santalaceae
ఎన్రాన్	Enron
రుమటాలజీ (కీళ్ల నొప్పుల శాస్త్రం)	Reumatología
క్లాస్ట్రీడియం	Clostridium
HL7	HL7
పెద్దరేగు	Ziziphus mauritiana
బోస్ కార్పోరేషన్	Bose Corporation
కౌగిలి	Abrazo
భారతీయ సినిమా	Cine de la India
స్పర్శ	Sistema somatosensorial
వీసా(VISA)	Visa (tarjeta de crédito)
మత్స్యావతారము	Matsia (dios)
అవిశ్వాస తీర్మానం	Moción de censura
వ్యాసుడు	Viasa
రక్త పింజరి	Daboia russelii
డ్రాగన్ హార్ట్	Dragonheart
భారతీయ వాయుసేన	Fuerza Aérea India
అసౌష్ఠవత	Asimetría estadística
ఫెర్మాట్ సూత్రం	Principio de Fermat
శ్రుతి హాసన్	Shruti Haasan
లార్డ్స్ క్రికెట్ స్టేడియం	Lord's Cricket Ground
టాటా గ్రూప్	Grupo Tata
వయసుపైబడుట	Senescencia
తలంబ్రాలు చెట్టు	Lantana camara
రంజిత్ సింగ్	Ranjit Singh
ఫిరాయింపు	Defección
సరస్సు కొంగ	Grus antigone
వారియర్ (మల్లయోధుడు)	The Ultimate Warrior
ఫరీద్ జకారియ	Fareed Zakaria
చార్‌ల్స్ విల్సన్ (రాజకీయవేత్త)	Charles Wilson (político)
రాజా రవివర్మ	Raya Ravi Varma
విల్ డ్యురాంట్	Will Durant
బెస్సేమర్ పద్ధతి	Convertidor Thomas-Bessemer
SAT	SAT Reasoning Test
మెర్రిల్ లించ్	Merrill Lynch
ప్రపంచ జన్మస్థానం (చిత్రపటం)	El origen del mundo
జిహ్వ గ్రసని నాడి	Nervio glosofaríngeo
ఫాసియోలా హిపాటికా	Fasciola hepatica
భరతనాట్యం	Bharatanatyam
రవాణా విధానం	Anexo:Medios de transporte
మోర్గాన్ స్టాన్లీ	Morgan Stanley
దేవమాత	Diosa madre
స్టొరీబోర్డ్	Storyboard
పెప్సికో	PepsiCo
ఖాజీ నజ్రుల్ ఇస్లాం	Kazi Nazrul Islam
షమ్మీ కపూర్	Shammi Kapoor
అబూబక్ర్	Abu Bakr as-Siddiq
మసనోబు ఫుకుఒక	Masanobu Fukuoka
జయదేవ	Yaiádeva
రాహుల్ బోస్	Rahul Bose
రామ్మోహన్ రాయ్	Ram Mohan Roy
సౌర స్థిరాంకం	Constante solar
జ్యోతిబసు	Jyoti Basu
మధ్వాచార్యుడు	Madhva
గడ్డివాము	Heno
గిర్ అభయారణ్యం	Parque nacional del Bosque de Gir
తటస్థీకరణం	Neutralización
నిజాయితీ	Honestidad
రాజపుత్రులు	Rajput
HIV పరీక్ష	Prueba de detección del VIH
ఉత్తర 24 పరగణాలు	Distrito de 24 Parganas norte
టాంగో (నృత్యం)	Tango
రోసిడ్స్	Rosidae
గాడ్జెట్	Gadget
క్రిస్	Chris
హిప్పీ	Hippie
ప్రైవేట్	Private
అక్క్యూట్ రెస్పిరేటరీ డిస్ట్రెస్ సిండ్రోం	Síndrome de dificultad respiratoria aguda
ఆడమ్ గిల్‌క్రిస్ట్	Adam Gilchrist
షట్టరు వేగం	Velocidad de obturación
జాతీయ ఆదాయం	Contabilidad nacional
ద్రవీకృత పెట్రోలియం వాయువు	Gas licuado del petróleo
ఓపెన్	Open
తృప్తి	Satisfacción
చరిత్రలో ఘోర విమాన ప్రమాదాలు	Anexo:Accidentes e incidentes notables en la aviación civil
లీ డి ఫారెస్ట్	Lee De Forest
చిణువు	Píxel
మెహమూద్	Mehmood Ali
భారత సైనిక దళం	Ejército de la India
నారు	Trasplante (botánica)
ఎడినోకార్సినోమా	Adenocarcinoma
భారత నావికా దళం	Armada India
ఆదిబుద్ధుడు	Adi-Buda
ద్వాదశాదిత్యులు	Aditiá
ఆదివాసి	Adivasi
నికొనార్‌ పారా	Nicanor Parra
డేవిడ్ ఎడ్వర్డ్ హ్యుస్	David Edward Hughes
అడూర్ గోపాలక్రిష్ణన్	Adoor Gopalakrishnan
కుంతీ జిల్లా	Distrito de Khunti
ఇంటి శతపాదులు	Scutigera coleoptrata
ఆంగ్లో ఇండియన్	Anglo-indio
ఆరు ఎ లు	Cinco W
మినుములు	Vigna mungo
బెండ్ ఇట్ లైక్ బెక్హాం	Bend It Like Beckham
క్షవరం	Afeitado
ఘసన్ కనాఫానీ	Ghassan Kanafani
విక్టర్ కేసినోలు	Víktor Kozin
అమరసింహుడు	Amara Simja
ప్యాసింజర్ నేమ్ రికార్డు	Passenger Name Record
గబూన్ పాము	Bitis gabonica
బజాజ్‌ పల్సర్‌	Bajaj Pulsar
ఒరిపిడి పదార్థాలు	Abrasivo
రాయ్‌పుర్	Raipur
బహుమనీ సామ్రాజ్యము	Sultanato Bahmani
మిత్సుబిషి పజెరో	Mitsubishi Montero
చిట్టగాంగ్	Chittagong
కొత్తగా పారిశ్రామికీకరణ చెందుతున్న దేశం	País recientemente industrializado
సీనాయి పర్వతం	Monte Sinaí
దిలీప్ కుమార్	Dilip Kumar
హెచ్.డి.దేవెగౌడ	H. D. Deve Gowda
బంకించంద్ర ఛటర్జీ	Bankim Chandra Chattopadhyay
మేఘనాధ్ సాహా	Meghnad Saha
ఆవశ్యక కొవ్వు ఆమ్లం	Ácido graso esencial
సుశీల్ కుమార్ సోలంకి	Sushil Kumar
చక్రవర్తి రాజగోపాలాచారి	Chakravarti Rajagopalachari
వట్టివేరు	Chrysopogon zizanioides
శశి కపూర్	Shashi Kapoor
వాయు నియమాలు	Leyes de los gases
ఏకస్వామ్యపు పోటీ	Competencia monopolística
మిధున్ చక్రవర్తి	Mithun Chakraborty
ఉస్తాద్ బిస్మిల్లాఖాన్	Bismillah Khan
ఎంటిరోబాక్టీరియేసి	Enterobacteriaceae
బీజకోశం	Óvulo (botánica)
వృత్తి చికిత్స	Terapia ocupacional
బెంటొనైట్	Bentonita
అజీమ్ ప్రేమ్‌జీ	Azim Premji
వాత్స్యాయన మహర్షి	Vatsiaiana
పశుపతినాథ్	Templo Pashupatinath
కార్పొరేట్ పాలన	Gobierno corporativo
సేంద్రీయ ఆహారం	Alimento orgánico
షణ్ముఖుడు	Karttikeya
ఫాస్ట్ అండ్ ఫ్యూరియస్	Fast & Furious
సంపూర్ణ నాణ్యతా నిర్వహణ	Gestión de la calidad total
ప్రతిజ్ఞ	Juramento
జల్లెడ	Tamizado
అనుభవజ్ఞుడు	Perito
ఇస్రా మరియు మేరాజ్	Miraj
సెమోలినా	Sémola
క్రిస్ గార్డనర్	Chris Gardner
వికాస్ స్వరూప్	Vikas Swarup
ముహమ్మద్ బిన్ తుగ్లక్	Muhammad bin Tughluq
సమాధి	Tumba
ఆవాలు	Brassica nigra
మంగళ్ పాండే	Mangal Pandey
స్కాచ్ విస్కీ	Whisky escocés
శుశృతుడు	Súsruta
దేశాల జాబితా – ఎగుమతుల క్రమంలో	Anexo:Países por exportaciones
సముద్రపాల	Argyreia nervosa
విద్యుత్తు ఉత్పత్తి	Generación de energía eléctrica
దుష్యంతుడు	Dushianta
ఇజ్రాయిల్ సంస్కృతి	Cultura de Israel
నిర్మాణము	Construcción
కురుక్షేత్ర సంగ్రామం	Guerra de Kurukshetra
నేతాజీ సుభాష్ చంద్రబోస్ అంతర్జాతీయ విమానాశ్రయం	Aeropuerto Internacional Netaji Subhash Chandra Bose
గీత గోవిందం	Guitá Govinda
గుండె రక్తనాళాల వ్యాధి	Enfermedades cardiovasculares
పాటలీపుత్ర	Pataliputra
అగస్త్య మహర్షి	Agastya
బుల్లెట్‌ప్రూఫ్ జాకెట్	Chaleco antibalas
దుప్పటి	Sábana
ఆగా ఖాన్	Aga Khan
పొలుసు	Escala
జైడ్రునాస్ సావికాస్	Žydrūnas Savickas
అగ్ని (దేవుడు)	Agni
అహ్మదాబాద్	Distrito de Ahmedabad
అహ్మద్‌నగర్ జిల్లా	Distrito de Ahmednagar
ఆపరేషన్ బ్లూస్టార్	Enfermedad del jarabe de arce
దుంపరాష్ట్రము	Alpinia galanga
కార్గిల్ యుద్ధము	Guerra de Kargil
శరత్ చంద్ర చటోపాధ్యాయ్	Sharat Chandra Chattopadhyay
బంగారు పతకం	Medalla de oro
థియోఫిలిన్	Teofilina
ఏయిర్ ఇండియా ఎక్స్ ప్రెస్	Air India Express
లినొలిక్ ఆమ్లం	Ácido linoleico
ఖైటోసాన్	Quitosano
మిథైల్ ఆరెంజ్	Naranja de metilo
డైఇథైల్‌కార్బమజిన్	Dietilcarbamazina
బెంజిడిన్	Bencidina
ఫెనైటోయిన్	Fenitoína
ఏంఫోటెరిసిన్ బి	Anfotericina B
విద్యుత్ లేపనం	Galvanizado
పామిటొలిక్ ఆమ్లం	Ácido palmitoleico
అజ్మీర్ జిల్లా	Distrito de Ajmer
వాము	Trachyspermum ammi
క్లోట్రిమజోల్	Clotrimazol
బొంత జెముడు	Euphorbia antiquorum
పొటాషియం సిట్రేట్	Citrato de potasio
మోనజైట్	Monacita
డిగాక్సిన్	Digoxina
డాప్సోన్	Dapsona
క్లోరోక్విన్	Cloroquina
జెంటామైసిన్	Gentamicina
లొపినవిర్	Lopinavir
బెహెనిక్ ఆమ్లం	Ácido behénico
కాప్రోయిక్ ఆమ్లం	Ácido hexanoico
ఎంట్రిసిటబిన్	Emtricitabina
డిడనొసిన్	Didanosina
కాప్రిక్ ఆమ్లం	Ácido cáprico
రిటనోవిర్	Ritonavir
లారిక్ ఆమ్లం	Ácido láurico
లామివుడిన్	Lamivudina
లిగ్నోసెరిక్ ఆమ్లం	Ácido lignocérico
ఇయోసిన్	Eosina
క్రోమిక్ ఆమ్లం	Ácido crómico
ఎఫావిరెంజ్	Efavirenz
జీవాణుపుంజం (బయోపాలిమర్)	Biopolímero
రిఫాంపిసిన్	Rifampicina
సాక్వినవిర్	Saquinavir
మిరిస్టిక్ ఆమ్లం	Ácido mirístico
నీలిమందు	Colorante índigo
ప్రొపియోనిక్ ఆమ్లం	Ácido propanoico
నియోమైసిన్	Neomicina
బిబిసి వరల్డ్ సర్వీస్	Servicio Mundial de la BBC
నెల్పినవిర్	Nelfinavir
స్టావుడిన్	Estavudina
రిసినోలిక్ ఆమ్లం	Ácido ricinoleico
అల్ అక్సా మస్జిద్	Mezquita de Al-Aqsa
ఇండినవిర్	Indinavir
ఆంథోని బౌర్డెన్	Anthony Bourdain
సైఫన్	Sifón
పెపె జీన్స్	Pepe Jeans
వంట నూనె	Aceite de cocina
కంప్యూటర్ ఇంజనీరింగ్	Ingeniería en sistemas computacionales
కాకర	Momordica charantia
మస్జిదుల్ హరామ్	Masjid al-Haram
బళ్లారి	Bellary
ఈశాన్య ఢిల్లీ	Distrito de Delhi noreste
నూనె యొక్క సపొనిఫికెసను విలువ	Número de saponificación
లక్క	Goma laca
కృష్ణాష్టమి	Janmashtami
నల్లపాముల గద్ద	Spilornis cheela
అలనా ఇవాన్స్	Alana Evans
నికొలో డా కాంటి	Niccolò Da Conti
ఆళ్వారులు	Alvar (hinduismo)
ఆల్వార్ జిల్లా	Distrito de Alwar
గూగుల్ అప్ ఇంజిన్	Google App Engine
రాయితీ నగదు ప్రవాహం	Flujo de fondos descontados
బుద్ధులు	Anexo:Los 28 Budas
మైసూర్ రాజభవనం	Palacio Real de Mysore
అంబాలా	Ambala
అంబర్ కోట	Fuerte Amber
వెస్ట్‌మిన్‌స్టర్ వంతెన	Westminster Bridge
సవ్యసాచిత్వం	Ambidiestro
హస్తినాపురం	Jastinápura
మధురం	Sabor dulce
స్కేల	Scala (lenguaje de programación)
డార్జిలింగ్ హిమాలయన్ రైల్వే	Ferrocarril Darjeeling del Himalaya
అంతర్జాతీయ జీవవైవిధ్య దినోత్సవం	Día Internacional de la Diversidad Biológica
దలేర్ మెహంది	Daler Mehndi
సైనా నెహ్వాల్	Saina Nehwal
అనీ బిసెంట్	Annie Besant
ఈద్-ఉల్-ఫితర్	Eid al-Fitr
జయ బచ్చన్	Jaya Bachchan
నోర్టెల్	Nortel
ప్రపంచ ఆహార దినోత్సవం	Día Mundial de la Alimentación
డెస్పెరాడో (చిత్రం)	Desperado (película)
ఫూలన్ దేవి	Phoolan Devi
తూర్పు కనుమలు	Ghats orientales
ఎం.ఎస్. సుబ్బలక్ష్మి	M. S. Subbulakshmi
మాతా అమృతానందమయి	Mata Amritanandamayi
జుంపా లహరి	Jhumpa Lahiri
మర్రి	Baniano
రేఖ	Rekha
షబానా అజ్మీ	Shabana Azmi
దియా మిర్జా	Dia Mirza
రీబాక్	Reebok
మీరాబాయి	Mirabai
అమెరికన్ సైకో	American Psycho
హొయసల సామ్రాజ్యం	Hoysala
పల్లవ	Dinastía Pallava
రామన్ ఎఫెక్ట్	Efecto Raman
అమెరికన్ సొసైటీ ఆఫ్ మెకానికల్ ఇంజనీర్స్	ASME
ప్రతిభ	Superdotación intelectual
కేంద్రపాలిత ప్రాంతము	Territorios de la Unión
వైజయంతిమాల	Vyjayanthimala
మీర్ ఉస్మాన్ అలీ ఖాన్	Asaf Jah VII
గుల్జార్	Gulzar
ధీరుభాయ్ అంబానీ	Dhirubhai Ambani
శ్రీ శ్రీ రవి శంకర్	Ravi Shankar (gurú)
రక్తపుగడ్డ	Hematoma
శివ లింగము	Lingam
గుడ్లగూబ కోతి	Aotus
ఆసిన్	Asin Thottumkal
గీతా దత్	Geeta Dutt
అంతర్జాతీయ స్త్రీ హింసా వ్యతిరేక దినము	Día Internacional de la Eliminación de la Violencia contra la Mujer
బెణుకు	Esguince
మొదటి భాస్కరుడు	Bhaskara I
సల్మాన్ అమిన్ ఖాన్	Salman Khan (profesor)
కిషోర్ కుమార్	Kishore Kumar
అసాధారణ పరిస్థితి నిర్వహణ	Manejo de excepciones
మొగిలి	Pandanus
దేశాల జాబితా – తలసరి బీరు వినియోగం	Anexo:Países por consumo de cerveza por persona
సీతాఫలం	Annona reticulata
భద్ర నది	Río Bhadra
ది క్రానికల్స్ ఆఫ్ నార్నియా: ది వాయేజ్ ఆఫ్ ది డాన్ ట్రీడెర్	Las crónicas de Narnia: la travesía del Viajero del Alba
దాహము	Sed
సంతులిత ఆహారం (పోషకాహారం)	Régimen alimenticio
పద్మాసనము	Posición de loto
నౌకానిర్మాణం	Construcción naval
స్టాక్ మార్కెట్	Mercado de valores
ప్రపంచ ఆరోగ్య దినం	Día Mundial de la Salud
కూర్మావతారము	Kurmá
కల్క్యావతారము	Kalki
పల్లకి	Litera (vehículo)
విశ్వకర్మ	Vishua Karma
భారత రాజ్యాంగం	Constitución de la India
శారీరక భాష	Expresión corporal
చిత్రము	Imagen
ఏమీ ఆడమ్స్	Amy Adams
షరియా	Sharia
గజము (పొడవు)	Yarda
పారాచూట్	Paracaídas
బ్రయాన్ ఆడమ్స్	Bryan Adams
శామ్‌సంగ్ గాలక్సీ Y	Samsung Galaxy Y
విండోస్ 98	Windows 98
వికీమానియా	Wikimanía
కళా ప్రక్రియ	Género artístico
ది క్రానికల్స్ ఆఫ్ నార్నియా	Las Crónicas de Narnia
రియో ఫెర్డినాండ్	Rio Ferdinand
ఆసియా క్రీడలు	Juegos Asiáticos
కళాకారుడు	Artista
వాల్-మార్ట్	Walmart
అలన్ షేరర్	Alan Shearer
క్లౌడ్ కంప్యూటింగ్	Computación en la nube
సున్నీ ఇస్లాం	Sunismo
సత్య సాయి బాబా	Sathya Sai Baba
షిండ్లర్స్ లిస్ట్	La lista de Schindler
పేపాల్	PayPal
ముహమ్మద్ ఇక్బాల్	Muhammad Iqbal
ఫిఖహ్	Fiqh
అలిస్ ఇన్ చెయిన్స్	Alice in Chains
గురువు	Gurú
నాయకత్వం	Liderazgo
ఉపరితలం	Superficie (matemática)
కులం	Casta
పెసలు	Vigna radiata
బమియాన్ బుద్ధ విగ్రహాలు	Budas de Bāmiyān
ఇ-కామర్స్	Comercio electrónico
వాసన	Olor
సినిమాస్కోప్	Cinemascope
ఔరంగజేబు	Aurangzeb
రెడ్ హ్యాట్	Red Hat
వికీమీడియా కామన్స్	Customer relationship management
ఆనంద్(గుజరాత్)	Distrito de Anand
క్షారం	Álcali
చికెన్ పులావ్	Pilaf (comida)
అనంగరంగ	Ananga Ranga
పొడవైన నదుల జాబితా	Anexo:Ríos más largos del mundo
మస్జిదె నబవి	Mezquita del Profeta
హుమాయూన్	Humayun
ఇస్లామోఫోబియా	Islamofobia
కేంబ్రిడ్జ్ డ్యూక్ ప్రిన్స్ విలియమ్స్ మరియు కేథరీన్ మిడిల్టన్ ల వివాహం	Boda real entre Guillermo de Cambridge y Catherine Middleton
పార్లమెంటు సభ్యుడు	Parlamentario
ప్రైస్‌వాటర్‌హౌస్‌కూపర్స్	PricewaterhouseCoopers
నీలి చిత్రాల నటులు	Actor pornográfico
మ్యాక్‌బుక్ ఎయిర్	MacBook Air
ఎర్నెస్ట్	Ernst & Young
అగార్	Agar (India)
ఏడు పురాతన ప్రపంచ అద్భుతాలు	Siete maravillas del mundo antiguo
ఇజ్రాయీల్	Azrael
చిక్-ఫిల్ ఎ	Chick-fil-A
సమోసా	Samosa
డెలాయిట్	Deloitte
రజస్వల	Menarquia
వైద్య కళాశాల	Facultad de medicina
వజ్ర సూత్రం	Sutra del Diamante
ఆదిలాబాద్	Adilabad
ప్రత్యేక ఆర్థిక మండలి	Zona económica especial
శామ్‌సంగ్ గాలక్సీ ఏస్	Samsung Galaxy Ace
దాగలి	Yunque (hueso)
పుష్పక విమానము	Vímana (mitología hinduista)
నోకియా 1100	Nokia 1100
అలసంద	Vigna unguiculata
కర్ణాంతరాస్థి	Estribo (hueso)
పరిమార్జన్ నేగి	Parimarjan Negi
లోగానియేసి	Loganiaceae
కంపెనీ ఆఫ్ హీరోస్	Company of Heroes
తాటి ముంజలు	Borassus flabellifer
సార్కాప్టిస్ స్కేబీ	Sarcoptes scabiei
కాలింపాంగ్	Kalimpong
మధ్య చెవి	Oído medio
గొట్టపు బావి	Sondeo geotécnico
రిషికేశ్	Rishikesh
జానీ వాకర్	Johnnie Walker
చెన్నై అంతర్జాతీయ విమానాశ్రయం	Aeropuerto Internacional de Chennai
మృదులాస్థి	Tejido cartilaginoso
అ	Vocal casi abierta central
కెంపెగౌడ అంతర్జాతీయ విమానాశ్రయం	Aeropuerto Internacional de Bangalore
స్పిగ్మోమానోమీటరు	Esfigmomanómetro
ఛత్రపతి శివాజీ అంతర్జాతీయ విమానాశ్రయం	Aeropuerto Internacional Chhatrapati Shivaji
ది కామెడీ ఆఫ్ ఎర్రర్స్	La comedia de las equivocaciones
మానస్ జాతీయ అభయారణ్యం	Parque nacional de Manas
భక్తి	Bhakti
అపాచే టాంక్యాట్	Tomcat
ఔషధ తయారీ సంస్థలు	Industria farmacéutica
ఈక్విలిబ్రియమ్(చిత్రం)	Equilibrium (película)
ఇంటర్నల్ రేట్ అఫ్ రిటర్న్	Tasa interna de retorno
కల్ హో న హో	Kal Ho Naa Ho
అర్హీనియస్ ఆమ్ల క్షార సిద్ధాంతము	Ecuación de Arrhenius
నెస్టోరిని	Nestor (género)
జంతర్ మంతర్ వేధశాల	Jantar Mantar
ఆలమ్నీ	Alumni
2009 UEFA ఛాంపియన్స్ లీగ్ ఫైనల్	Final de la Liga de Campeones de la UEFA 2008-2009
హృదయగతిప్రేరకం	Nodo atrioventricular
గూగుల్ యాప్స్	Google Apps
సంజయ్ గుప్తా	Sanjay Gupta
టెలివిజన్ స్టూడియో	Estudio de televisión
ఖవ్వాలి	Qawwali
దాదాసాహెబ్ ఫాల్కే	Dhundiraj Govind Phalke
లింగమార్పిడి	Cambio de sexo
బ్రాండ్ ధర్మం (బ్రాండ్ ఈక్విటీ)	Valor de marca
ఈదుల్ అజ్ హా	Eid al-Adha
ప్రేమ పక్షులు	Agapornis
ద్రవ్య మార్పిడి	Swap de divisas
కశేరుక ధమని	Arteria vertebral
శ్వాసలో గురక	Sibilancia
జి స్పాట్	Punto G
వరాహావతారము	Varaja
షార్ప్‌విల్లే మారణకాండ	Matanza de Sharpeville
ఎంటమీబా	Entamoeba
దావణగెరె	Davangere
అకోలా జిల్లా	Distrito de Akola
బాగల్‌కోట్	Bagalkot
ఆకు ఆకృతి	Anexo:Forma de hojas
గదగ్	Gadag-Betageri
లీష్మానియా	Leishmania
ఎర్ర జిల్లేడు	Calotropis gigantea
సిర్సా (హర్యానా)	Distrito de Sirsa
రేవా	Distrito de Rewa
ముడి	Nudo (lazo)
నీలం ఎరుపు లోరీ	Eos histrio
రొనాల్డో	Ronaldo
ఆసనాస్థి	Hueso isquion
ఘజిని (2008 చిత్రం)	Ghajini
పగడము	Corallium rubrum
ప్సిట్టెయుటెలస్	Psitteuteles
న్యూట్రాస్యూటికల్	Nutracéutico
దక్షిణ దినాజ్‌పూర్	Distrito de Dakshin Dinajpur
విక్టోరియా	Victoria
గుండెలో మంట	Pirosis
యాంజియోప్లాస్టి	Angioplastia
అంగిరో మహర్షి	Ánguiras
ICD-10 అధ్యాయము 12: చర్మవ్యాధులు	Anexo:CIE-10 Capítulo XII: Enfermedades de la piel y el tejido subcutáneo
జాస్మిన్ బైర్న్	Jasmine Byrne
దక్షిణ భారతదేశము	India del Sur
రాజౌరీ	Distrito de Rajouri
నటరాజు	Nataraja
ఇమేజ్ ఎడిటింగ్	Edición de imágenes
తకళి శివశంకర పిళ్ళై	Thakazhi Sivasankara Pillai
చెదలు	Isoptera
హుగ్లీ	Distrito de Hugli
వేరికోసిల్	Varicocele
మల్చింగ్‌	Mantillo
పశ్చిమ ఢిల్లీ	Distrito de Delhi occidental
ఫైర్‌ఫాక్స్ ఓయస్	Firefox OS
క్లేఫేస్	Clayface
తీగ	Alambre
చైన్ (యూనిట్)	Cadena (unidad de longitud)
SAP AG	SAP AG
దావూద్ ఇబ్రాహీం	Dawood Ibrahim
క్రైస్తవులపై అకృత్యాలు	Persecución a los cristianos
బి. కె. ఎస్. అయ్యంగార్	B. K. S. Iyengar
సునీల్ గవాస్కర్	Sunil Manohar Gavaskar
ఎం.ఎఫ్. హుసేన్	Maqbool Fida Husain
స్మార్తం	Smarta
ముసేలిమాహ్	Musaylima
అన్నా చక్వతడ్జే	Anna Chakvetadze
దత్తాత్రేయ రామచంద్ర కప్రేకర్	Dattatreya Ramachandra Kaprekar
పి.సి.మహలనోబిస్	Prasanta Chandra Mahalanobis
లాలూ ప్రసాద్ యాదవ్	Lalu Prasad Yadav
బిక్సేసి	Bixaceae
సయాటికా	Ciática
టీనియా సోలియమ్	Taenia solium
విదర్భ	Vidarbha
జర్స్‌ర్గుడా	Distrito de Jharsuguda
జలాంతర ఛాయాచిత్రకళ	Fotografía subacuática
నల్ల తల లోరీ	Lorius lory
శుక్రాచార్యుడు	Sukrá
హెర్బాలైఫ్‌	Herbalife
జోధా అక్బర్	Jodhaa Akbar
కపిల మహర్షి	Kapila (sabio ateo)
గూగుల్ గ్లాసెస్	Google Glass
రక్తపోటు మందు	Antihipertensivo
క్రైస్తవ ఛాందసవాదం	Fundamentalismo cristiano
అఖండజ్యోతి	Luz eterna
ఓర్నేట్ లోరికీట్	Trichoglossus ornatus
డిప్టెరోకార్పేసి	Dipterocarpaceae
పవర్ బిల్డర్	PowerBuilder
ది స్పెక్టేటర్ (1711)	The Spectator (1711)
డాట్ మ్యాట్రిక్స్ ప్రింటర్	Impresora matricial
దగ్గు మందు	Antitusígeno
వరిబీజం	Hidrocele
ఉడిపి	Udupi
బాస్కిన్-రాబిన్స్	Baskin Robbins
ఆలప్పుళా	Alappuzha
నికాన్ డి3100	Nikon D3100
ఉమ్రావ్ జాన్	La Umrao Jaan
గుంతకల్లు	Guntakal
స్విచ్ మోడ్ పవర్ సప్లై	Fuente conmutada
బాణాసంచా	Petardo
బద్రీనాథ్	Badrinath
అమర్‌ కంటక్‌	Amarkantak
ఫ్రిక్షను వెల్డింగు	Soldadura por fricción
మావటి	Mahout
ఆరోవిల్	Auroville
బాదామి	Badami
సినిమాటోగ్రఫీ	Cinematografía
ఫేక్	Distrito de Phek
మైసూరు జిల్లా	Distrito de Mysore
క్లాస్ట్రీడియేసి	Clostridiaceae
ఔరంగాబాదు జిల్లా(మహారాష్ట్ర)	Distrito de Aurangabad
దేశాల జాబితా – రైలు రవాణా వ్యవస్థ పరిమాణం క్రమంలో	Anexo:Países por kilómetros de red ferroviaria
ప్రసిద్ధ సమర్రా మస్జిద్	Gran Mezquita de Samarra
కురుక్షేత్రం	Kurukshetra
పీల్ డిస్ట్రిక్ స్కూలు బోర్డ్	Consejo Distrital de Escuelas de Peel
మెథిసిల్లిన్-రెసిస్టంట్ స్టెఫిలోకాకస్ ఆరియస్	Staphylococcus aureus resistente a la meticilina
రాజ్‌సమంద్ జిల్లా	Distrito de Rajsamand
సాగిన చర్మపు గుర్తులు	Estría
గర్భాశయ దర్శనం	Histeroscopia
సింధూ లిపి	Escritura del Indo
వాణిజ్యం	Comercio
పసరిక పాము	Ahaetulla
ఉపన్యాసం	Clase magistral
భారత ప్రామాణిక కాలమానం	Zona horaria de la India
పానిపట్టు యుద్ధం	Batalla de Panipat (1526)
కెవిన్	Kevin
